start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.382952	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.382952	6.531179	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
6.531179	9.619433	D#:hdim7	3	3	0	1	0	1	0	0	1	0	0	1	0	0
9.619433	12.684467	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
12.684467	15.714671	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
15.714671	18.744875	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
18.744875	22.889637	A:9	9	9	0	1	0	0	1	0	0	1	0	1	0	1
22.889637	24.851723	A:7(*5,13)	9	9	0	1	0	0	0	0	1	1	0	1	0	0
24.851723	27.821479	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
27.821479	30.877301	D:dim	2	2	0	0	1	0	0	1	0	0	1	0	0	0
30.877301	36.926099	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
36.926099	39.909863	D#:hdim7	3	3	0	1	0	1	0	0	1	0	0	1	0	0
39.909863	42.940068	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
42.940068	45.958662	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
45.958662	48.965646	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
48.965646	51.98424	A:9	9	9	0	1	0	0	1	0	0	1	0	1	0	1
51.98424	54.875124	A:7(13)	9	9	0	1	0	0	1	0	1	1	0	1	0	0
54.875124	57.905328	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
57.905328	60.877482	D:dim	2	2	0	0	1	0	0	1	0	0	1	0	0	0
60.877482	66.926281	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
66.926281	69.910045	D#:hdim7	3	3	0	1	0	1	0	0	1	0	0	1	0	0
69.910045	72.812539	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
72.812539	75.807913	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
75.807913	78.791678	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
78.791678	81.787052	A:9	9	9	0	1	0	0	1	0	0	1	0	1	0	1
81.787052	84.770816	A:7(13)	9	9	0	1	0	0	1	0	1	1	0	1	0	0
84.770816	87.81263	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
87.81263	90.726734	D:dim	2	2	0	0	1	0	0	1	0	0	1	0	0	0
90.726734	96.763922	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
96.763922	102.766281	G#:7	8	8	1	0	0	1	0	0	1	0	1	0	0	0
102.766281	108.652539	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
108.652539	111.624693	D#:hdim7	3	3	0	1	0	1	0	0	1	0	0	1	0	0
111.624693	114.620068	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
114.620068	117.534172	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
117.534172	120.494716	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
120.494716	123.43204	A:9	9	9	0	1	0	0	1	0	0	1	0	1	0	1
123.43204	126.299705	A:7(13)	9	9	0	1	0	0	1	0	1	1	0	1	0	0
126.299705	129.318299	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
129.318299	132.278843	D:dim7	2	2	0	0	1	0	0	1	0	0	1	0	0	1
132.278843	138.118662	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
138.118662	140.986326	D#:hdim7	3	3	0	1	0	1	0	0	1	0	0	1	0	0
140.986326	143.91204	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
143.91204	146.814535	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
146.814535	149.705419	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
149.705419	152.689183	A:9	9	9	0	1	0	0	1	0	0	1	0	1	0	1
152.689183	155.591678	A:7(13)	9	9	0	1	0	0	1	0	1	1	0	1	0	0
155.591678	158.494172	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
158.494172	164.439685	D:dim7	2	2	0	0	1	0	0	1	0	0	1	0	0	1
164.439685	165.537959	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
