start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	1.014823	D/2	2	4	0	0	1	0	1	0	1	0	0	1	0	0
1.014823	1.701428	A/5	9	4	0	1	0	0	1	0	0	0	0	1	0	0
1.701428	3.326825	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
3.326825	4.081473	D/2	2	4	0	0	1	0	1	0	1	0	0	1	0	0
4.081473	4.778072	A/5	9	4	0	1	0	0	1	0	0	0	0	1	0	0
4.778072	6.287369	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
6.287369	7.007188	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
7.007188	7.564467	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
7.564467	9.155034	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
9.155034	9.874852	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
9.874852	10.397301	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
10.397301	11.976258	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
11.976258	13.415895	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
13.415895	14.843922	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
14.843922	15.575351	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
15.575351	16.12102	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
16.12102	17.723197	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
17.723197	18.454625	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
18.454625	19.000294	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
19.000294	20.590861	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
20.590861	21.34551	D/2	2	4	0	0	1	0	1	0	1	0	0	1	0	0
21.34551	22.065328	A/5	9	4	0	1	0	0	1	0	0	0	0	1	0	0
22.065328	23.539795	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
23.539795	24.259614	D/2	2	4	0	0	1	0	1	0	1	0	0	1	0	0
24.259614	25.025873	A/5	9	4	0	1	0	0	1	0	0	0	0	1	0	0
25.025873	26.53517	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
26.53517	27.231768	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
27.231768	27.789047	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
27.789047	29.426054	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
29.426054	30.134263	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
30.134263	30.679931	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
