start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.382952	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.382952	6.337859	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
6.337859	9.330793	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
9.330793	15.159002	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
15.159002	21.16136	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
21.16136	22.635827	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
22.635827	24.029024	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
24.029024	25.573151	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
25.573151	28.568526	D:min9	2	2	1	0	1	0	1	1	0	0	0	1	0	0
28.568526	31.62195	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
31.62195	34.524444	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
34.524444	37.461768	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
37.461768	40.352653	F:maj7	5	5	1	0	0	0	1	1	0	0	0	1	0	0
40.352653	43.208707	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
43.208707	46.064761	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
46.064761	48.885986	F:maj7	5	5	1	0	0	0	1	1	0	0	0	1	0	0
48.885986	50.325623	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
50.325623	51.80009	E/5	4	11	0	0	0	0	1	0	0	0	1	0	0	1
51.80009	53.297777	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
53.297777	56.211882	D:min9	2	2	1	0	1	0	1	1	0	0	0	1	0	0
56.211882	59.230476	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
59.230476	62.22585	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
62.22585	65.267664	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
65.267664	68.228208	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
68.228208	74.149297	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
74.149297	80.047165	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
80.047165	81.556462	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
81.556462	82.949659	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
82.949659	84.366077	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
84.366077	87.268571	D:min9	2	2	1	0	1	0	1	1	0	0	0	1	0	0
87.268571	90.182675	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
90.182675	91.585306	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
