start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.344657	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.344657	3.117845	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
3.117845	5.79975	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
5.79975	11.337709	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
11.337709	14.158934	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
14.158934	17.003378	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
17.003378	19.847823	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
19.847823	21.26424	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
21.26424	22.680657	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
22.680657	25.583151	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
25.583151	28.497256	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
28.497256	34.197755	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
34.197755	38.084599	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
38.084599	40.620408	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
