start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.421247	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.421247	1.922018	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
1.922018	3.338435	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
3.338435	4.824512	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
4.824512	6.206099	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
6.206099	7.703786	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
7.703786	9.224693	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
9.224693	10.687551	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
10.687551	12.162018	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
12.162018	13.590045	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
13.590045	15.064512	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
15.064512	16.527369	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
16.527369	17.943786	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
17.943786	19.441473	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
19.441473	20.904331	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
20.904331	22.367188	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
22.367188	23.876485	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
23.876485	25.350952	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
25.350952	26.813809	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
26.813809	28.265056	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
28.265056	29.658253	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
29.658253	32.607188	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
32.607188	33.327006	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
33.327006	34.058435	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
34.058435	35.532902	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
35.532902	37.030589	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
37.030589	38.447006	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
38.447006	39.921473	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
39.921473	41.314671	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
41.314671	42.847188	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
42.847188	44.298435	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
44.298435	45.703242	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
45.703242	47.235759	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
47.235759	48.628956	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
48.628956	50.080204	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
50.080204	51.543061	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
51.543061	52.959478	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
52.959478	54.445555	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
54.445555	55.850362	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
55.850362	57.25517	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
57.25517	58.752857	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
