start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.433805	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.433805	1.421269	B:(b3,5)	11	11	0	0	1	0	0	0	1	0	0	0	0	1
1.421269	9.107074	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
9.107074	19.602494	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
19.602494	22.168299	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
22.168299	24.838594	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
24.838594	26.162131	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
26.162131	27.450839	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
27.450839	30.028253	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
30.028253	40.546893	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
40.546893	43.252018	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
43.252018	45.875873	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
45.875873	47.21102	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
47.21102	48.488117	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
48.488117	51.111972	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
51.111972	53.747437	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
53.747437	56.394512	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
56.394512	59.041587	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
59.041587	61.688662	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
61.688662	64.370566	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
64.370566	66.994421	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
66.994421	69.560226	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
69.560226	70.906984	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
70.906984	72.218911	F#:aug	6	6	0	0	1	0	0	0	1	0	0	0	1	0
72.218911	82.74916	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
82.74916	85.431065	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
85.431065	87.98526	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
87.98526	89.285578	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
89.285578	90.597505	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
90.597505	93.12848	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
93.12848	106.247755	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
106.247755	108.883219	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
108.883219	110.218367	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
110.218367	111.530294	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
111.530294	114.130929	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
114.130929	116.778004	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
116.778004	119.436689	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
119.436689	122.118594	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
122.118594	124.754058	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
124.754058	127.389523	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
127.389523	130.106258	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
130.106258	132.706893	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
132.706893	135.330748	F#:aug	6	6	0	0	1	0	0	0	1	0	0	0	1	0
135.330748	146.058367	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
146.058367	148.635782	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
148.635782	151.259637	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
151.259637	152.583174	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
152.583174	153.929931	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
153.929931	155.218639	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
155.218639	156.565396	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
156.565396	157.900544	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
157.900544	159.154421	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
159.154421	161.10141	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
161.10141	161.580907	F#:aug	6	6	0	0	1	0	0	0	1	0	0	0	1	0
161.580907	164.969228	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
164.969228	169.468916	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
169.468916	175.516735	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
