start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.414179	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.414179	4.365655	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
4.365655	6.690592	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
6.690592	8.780606	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
8.780606	9.717289	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
9.717289	10.634761	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
10.634761	12.376258	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
12.376258	14.199024	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
14.199024	15.986961	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
15.986961	19.597664	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
19.597664	21.33916	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
21.33916	23.115487	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
23.115487	24.938253	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
24.938253	26.72619	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
26.72619	28.525736	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
28.525736	30.267233	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
30.267233	33.912766	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
33.912766	35.68953	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
35.68953	39.251474	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
39.251474	42.852448	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
42.852448	46.428321	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
46.428321	50.062244	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
50.062244	53.684557	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
53.684557	55.484104	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
55.484104	57.23721	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
57.23721	59.059977	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
59.059977	62.61263	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
62.61263	64.412176	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
64.412176	68.027392	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
68.027392	71.598752	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
71.598752	75.232675	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
75.232675	78.889818	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
78.889818	82.535351	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
82.535351	84.314205	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
84.314205	86.122834	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
86.122834	87.887551	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
87.887551	91.520928	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
91.520928	93.356062	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
93.356062	95.155396	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
95.155396	97.012993	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
97.012993	98.812539	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
98.812539	100.635306	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
100.635306	102.469682	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
102.469682	104.269229	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
104.269229	106.161655	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
106.161655	110.18449	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
