start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	1.073119	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.073119	2.512756	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
2.512756	4.103323	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
4.103323	5.68228	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
5.68228	7.284457	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
7.284457	13.890534	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
13.890534	17.106498	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
17.106498	20.438561	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
20.438561	22.098788	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
22.098788	23.759015	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
23.759015	25.505471	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
25.505471	27.067858	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
27.067858	33.685546	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
33.685546	36.947949	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
36.947949	40.256793	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
40.256793	41.905409	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
41.905409	43.600466	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
43.600466	45.303248	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
45.303248	46.88609	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
46.88609	53.654707	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
53.654707	57.00999	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
57.00999	60.376883	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
60.376883	62.01389	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
62.01389	63.720557	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
63.720557	65.562273	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
65.562273	67.05262	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
67.05262	73.600648	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
73.600648	76.909491	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
76.909491	80.264775	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
80.264775	82.006271	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
82.006271	83.666498	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
83.666498	85.454434	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
85.454434	87.056611	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
87.056611	93.929718	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
93.929718	97.308221	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
97.308221	100.709945	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
100.709945	102.439831	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
102.439831	104.146498	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
104.146498	105.899604	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
105.899604	107.583051	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
107.583051	114.398108	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
114.398108	117.823051	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
117.823051	121.201555	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
121.201555	122.908221	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
122.908221	124.614888	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
124.614888	126.681448	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
126.681448	128.086271	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
128.086271	134.924548	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
134.924548	138.337881	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
138.337881	141.716385	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
141.716385	143.493051	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
143.493051	147.513469	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
