start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.497838	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.497838	3.504013	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
3.504013	4.586464	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
4.586464	6.98973	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
6.98973	9.985104	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
9.985104	11.277943	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
11.277943	14.954174	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
14.954174	15.952633	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
15.952633	16.463472	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
16.463472	16.93948	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
16.93948	17.856669	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
17.856669	18.831908	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
18.831908	19.795536	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
19.795536	20.306375	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
20.306375	20.805604	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
20.805604	21.769232	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
21.769232	22.73286	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
22.73286	23.684877	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
23.684877	24.160887	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
24.160887	24.636895	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
24.636895	25.623744	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
25.623744	26.540933	C:min6	0	0	1	0	0	1	0	0	0	1	0	1	0	0
26.540933	27.49295	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
27.49295	27.992179	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
27.992179	28.479798	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
28.479798	29.455036	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
29.455036	30.453494	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
30.453494	31.393902	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
31.393902	31.869912	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
31.869912	32.35753	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
32.35753	33.344378	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
33.344378	34.308006	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
34.308006	36.246873	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
36.246873	38.139299	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
38.139299	40.008506	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
40.008506	41.041794	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
41.041794	41.982202	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
41.982202	42.93422	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
42.93422	43.44506	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
43.44506	43.932678	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
43.932678	44.873087	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
44.873087	45.836715	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
45.836715	46.753902	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
46.753902	47.241521	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
47.241521	47.729141	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
47.729141	48.704378	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
48.704378	49.656397	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
49.656397	50.666464	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
50.666464	51.119255	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
51.119255	51.606873	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
51.606873	52.593722	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
52.593722	53.52252	C:min6	0	0	1	0	0	1	0	0	0	1	0	1	0	0
53.52252	54.497757	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
54.497757	54.985377	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
54.985377	55.461385	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
55.461385	56.448234	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
56.448234	57.411862	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
57.411862	58.352269	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
58.352269	58.828279	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
58.828279	59.327508	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
59.327508	60.302747	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
60.302747	61.289594	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
61.289594	63.240071	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
63.240071	65.144106	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
65.144106	67.071362	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
67.071362	68.046601	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
68.046601	69.02184	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
69.02184	69.984519	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
69.984519	70.972315	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
70.972315	71.912724	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
71.912724	72.841522	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
72.841522	73.816759	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
73.816759	74.780387	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
74.780387	75.720796	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
75.720796	76.672814	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
76.672814	78.62329	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
78.62329	80.469276	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
80.469276	81.432904	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
81.432904	81.920523	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
81.920523	82.408143	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
82.408143	83.360161	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
83.360161	84.31218	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
84.31218	85.264197	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
85.264197	85.716986	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
85.716986	86.239436	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
86.239436	87.214673	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
87.214673	88.166692	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
88.166692	89.107099	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
89.107099	89.583108	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
89.583108	90.059119	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
90.059119	91.034356	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
91.034356	92.009594	C:min6	0	0	1	0	0	1	0	0	0	1	0	1	0	0
92.009594	92.938392	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
92.938392	93.414402	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
93.414402	93.89041	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
93.89041	94.888868	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
94.888868	95.840887	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
95.840887	96.827734	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
96.827734	97.280523	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
97.280523	97.768143	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
97.768143	98.754991	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
98.754991	99.753449	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
99.753449	101.715535	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
101.715535	103.619571	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
103.619571	105.546827	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
105.546827	106.510455	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
106.510455	107.497303	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
107.497303	109.424561	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
109.424561	110.388189	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
110.388189	111.340206	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
111.340206	113.302292	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
113.302292	114.25431	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
114.25431	115.264378	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
115.264378	119.353469	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
