start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.49218	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.49218	0.942239	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
0.942239	2.521195	E:maj7	4	4	0	0	0	1	1	0	0	0	1	0	0	1
2.521195	4.193032	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
4.193032	5.795209	E:maj7	4	4	0	0	0	1	1	0	0	0	1	0	0	1
5.795209	8.291354	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
8.291354	9.162102	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
9.162102	10.752669	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
10.752669	12.447726	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
12.447726	14.073123	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
14.073123	15.7914	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
15.7914	17.463236	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
17.463236	19.123463	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
19.123463	22.536738	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
22.536738	24.240876	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
24.240876	25.89208	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
25.89208	27.591708	E:maj7	4	4	0	0	0	1	1	0	0	0	1	0	0	1
27.591708	28.434203	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
28.434203	29.238402	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
29.238402	33.438565	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
33.438565	34.355753	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
34.355753	35.99276	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
35.99276	37.722647	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
37.722647	39.417703	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
39.417703	41.11276	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
41.11276	42.794911	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
42.794911	44.479654	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
44.479654	47.881377	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
47.881377	51.29471	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
51.29471	54.626774	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
54.626774	56.32183	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
56.32183	58.063327	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
58.063327	59.79799	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
59.79799	61.51149	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
61.51149	63.24456	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
63.24456	64.936434	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
64.936434	66.671982	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
66.671982	68.396207	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
68.396207	70.996842	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
70.996842	71.90242	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
71.90242	73.641713	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
73.641713	75.373803	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
75.373803	77.08047	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
77.08047	78.798746	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
78.798746	80.493803	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
80.493803	82.18886	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
82.18886	85.704708	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
85.704708	87.389697	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
87.389697	89.151278	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
89.151278	90.81712	E:maj7	4	4	0	0	0	1	1	0	0	0	1	0	0	1
90.81712	91.736205	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
91.736205	92.559552	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
92.559552	95.134376	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
95.134376	96.004733	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
96.004733	97.71026	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
97.71026	99.360016	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
99.360016	101.008633	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
101.008633	102.65725	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
102.65725	104.282647	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
104.282647	105.931263	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
105.931263	107.62632	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
107.62632	112.875102	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
