start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.47869	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.47869	1.302038	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
1.302038	2.793277	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
2.793277	4.279353	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
4.279353	5.800261	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
5.800261	7.344387	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
7.344387	8.853684	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
8.853684	10.386202	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
10.386202	11.953548	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
11.953548	13.486066	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
13.486066	14.972142	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
14.972142	16.527879	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
16.527879	18.083616	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
18.083616	19.616133	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
19.616133	21.14865	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
21.14865	22.692777	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
22.692777	25.815861	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
25.815861	27.348378	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
27.348378	28.880895	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
28.880895	30.366972	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
30.366972	31.922709	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
31.922709	33.443617	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
33.443617	35.010964	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
35.010964	36.566701	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
36.566701	38.122438	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
38.122438	39.654955	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
39.654955	41.199082	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
41.199082	42.731599	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
42.731599	44.298946	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
44.298946	45.854683	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
45.854683	47.36398	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
47.36398	50.521894	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
50.521894	52.054411	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
52.054411	53.575318	C:aug	0	0	1	0	0	0	1	0	0	0	1	0	0	0
53.575318	56.675182	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
56.675182	58.184479	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
58.184479	59.716996	C:aug	0	0	1	0	0	0	1	0	0	0	1	0	0	0
59.716996	62.82847	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
