start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.651019	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.651019	4.478164	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
4.478164	8.367506	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
8.367506	12.198799	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
12.198799	16.088141	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
16.088141	19.977483	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
19.977483	23.855216	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
23.855216	27.709728	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
27.709728	31.599071	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
31.599071	35.511633	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
35.511633	39.389365	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
39.389365	43.313538	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
43.313538	47.21449	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
47.21449	51.138663	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
51.138663	55.074445	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
55.074445	58.928957	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
58.928957	62.84152	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
62.84152	66.788912	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
66.788912	70.643424	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
70.643424	74.532767	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
74.532767	78.433719	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
78.433719	82.381111	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
82.381111	86.316894	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
86.316894	90.241066	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
90.241066	94.176848	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
94.176848	98.159071	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
98.159071	102.083243	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
102.083243	106.042245	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
106.042245	109.954808	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
109.954808	113.84415	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
113.84415	117.814762	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
117.814762	121.773765	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
121.773765	125.663107	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
125.663107	129.61018	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
129.61018	133.511452	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
133.511452	137.412404	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
137.412404	141.336576	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
141.336576	145.249139	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
145.249139	149.231361	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
149.231361	151.591638	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
151.591638	156.734694	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
