start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.421247	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.421247	1.256247	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.256247	21.840737	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
21.840737	23.048174	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
23.048174	24.290442	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
24.290442	25.47466	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
25.47466	26.682097	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
26.682097	27.877925	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
27.877925	29.073753	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
29.073753	29.372436	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
29.372436	31.546678	D:maj/2	2	4	0	0	1	0	1	0	1	0	0	1	0	0
31.546678	52.293707	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
52.293707	53.466315	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
53.466315	54.720192	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
54.720192	55.93924	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
55.93924	57.158288	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
57.158288	58.365725	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
58.365725	59.584773	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
59.584773	59.893728	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
59.893728	62.022868	D:maj/2	2	4	0	0	1	0	1	0	1	0	0	1	0	0
62.022868	76.264935	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
76.264935	96.71348	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
96.71348	97.944138	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
97.944138	99.163186	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
99.163186	100.393843	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
100.393843	101.578061	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
101.578061	102.808719	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
102.808719	103.969716	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
103.969716	104.277891	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
104.277891	106.454251	D:maj/2	2	4	0	0	1	0	1	0	1	0	0	1	0	0
106.454251	114.158058	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
114.158058	118.987755	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
