start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.459543	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.459543	1.187152	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.187152	3.142662	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
3.142662	5.069918	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
5.069918	7.043615	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
7.043615	9.133411	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
9.133411	11.095497	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
11.095497	13.080803	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
13.080803	15.019668	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
15.019668	16.993365	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
16.993365	18.96706	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
18.96706	20.940758	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
20.940758	22.879624	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
22.879624	23.460123	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
23.460123	23.936132	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
23.936132	24.400531	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
24.400531	24.911369	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
24.911369	26.885065	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
26.885065	28.847151	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
28.847151	30.797628	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
30.797628	31.296857	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
31.296857	31.761256	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
31.761256	32.248874	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
32.248874	32.748103	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
32.748103	34.733411	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
34.733411	36.718716	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
36.718716	38.727243	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
38.727243	40.700939	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
40.700939	42.744294	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
42.744294	44.70638	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
44.70638	46.703296	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
46.703296	50.673908	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
50.673908	52.647605	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
52.647605	54.609691	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
54.609691	56.571777	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
56.571777	57.082617	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
57.082617	57.581846	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
57.581846	58.046245	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
58.046245	58.557084	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
58.557084	60.554	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
60.554	62.562526	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
62.562526	64.547832	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
64.547832	65.058671	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
65.058671	65.53468	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
65.53468	66.010689	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
66.010689	66.521528	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
66.521528	68.530055	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
68.530055	70.538581	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
70.538581	72.523887	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
72.523887	74.509192	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
74.509192	76.540939	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
76.540939	78.526245	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
78.526245	80.534771	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
80.534771	84.447333	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
84.447333	86.479079	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
86.479079	88.452776	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
88.452776	90.403252	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
90.403252	90.98375	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
90.98375	91.42493	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
91.42493	91.900939	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
91.900939	92.400168	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
92.400168	94.431914	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
94.431914	96.41722	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
96.41722	98.425746	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
98.425746	98.913365	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
98.913365	99.400984	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
99.400984	99.888603	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
99.888603	100.376221	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
100.376221	102.384748	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
102.384748	104.370055	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
104.370055	106.366971	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
106.366971	108.340666	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
108.340666	110.372413	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
110.372413	112.380938	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
112.380938	114.343024	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
114.343024	116.30511	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
116.30511	118.267196	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
118.267196	120.275723	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
120.275723	122.237809	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
122.237809	124.199896	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
124.199896	126.196812	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
126.196812	128.158897	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
128.158897	130.155813	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
130.155813	132.117899	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
132.117899	134.068376	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
134.068376	136.076902	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
136.076902	138.027378	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
138.027378	140.001074	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
140.001074	140.524319	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
140.524319	141.034362	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
141.034362	143.932593	G:maj6(9)	7	7	0	0	1	0	1	0	0	1	0	1	0	1
143.932593	147.670204	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
