start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	1.213809	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.213809	4.812902	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
4.812902	8.783514	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
8.783514	10.664331	D:9	2	2	1	0	1	0	1	0	1	0	0	1	0	0
10.664331	12.510317	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
12.510317	14.391133	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
14.391133	16.17907	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
16.17907	18.071496	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
18.071496	19.963922	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
19.963922	21.844739	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
21.844739	23.725555	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
23.725555	25.606371	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
25.606371	27.510408	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
27.510408	31.039841	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
31.039841	34.801473	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
34.801473	38.772086	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
38.772086	40.664512	D:9	2	2	1	0	1	0	1	0	1	0	0	1	0	0
40.664512	42.568548	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
42.568548	44.437755	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
44.437755	46.237301	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
46.237301	48.118117	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
48.118117	50.022154	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
50.022154	51.89136	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
51.89136	53.807006	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
53.807006	55.711043	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
55.711043	57.615079	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
57.615079	61.15747	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
61.15747	64.894535	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
64.894535	68.969637	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
68.969637	70.850453	D:9	2	2	1	0	1	0	1	0	1	0	0	1	0	0
70.850453	72.754489	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
72.754489	76.609002	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
76.609002	78.547868	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
78.547868	80.463514	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
80.463514	82.37916	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
82.37916	84.283197	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
84.283197	86.187233	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
86.187233	88.079659	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
88.079659	90.018526	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
90.018526	91.969002	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
91.969002	93.942698	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
93.942698	95.777074	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
95.777074	97.75077	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
97.75077	99.689637	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
99.689637	101.593673	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
101.593673	103.462879	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
103.462879	105.459795	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
105.459795	107.375442	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
107.375442	111.020975	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
111.020975	114.817437	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
114.817437	118.904149	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
118.904149	120.784965	D:9	2	2	1	0	1	0	1	0	1	0	0	1	0	0
120.784965	122.735442	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
122.735442	126.624784	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
126.624784	128.56365	D:9	2	2	1	0	1	0	1	0	1	0	0	1	0	0
128.56365	130.339977	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
130.339977	134.052426	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
134.052426	138.370612	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
