start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.446618	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.446618	2.408196	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
2.408196	8.085475	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
8.085475	10.953139	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
10.953139	13.878853	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
13.878853	18.139715	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
18.139715	19.672232	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
19.672232	21.111869	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
21.111869	22.597946	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
22.597946	25.477221	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
25.477221	28.356495	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
28.356495	31.200939	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
31.200939	32.640577	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
32.640577	34.103434	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
34.103434	39.861982	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
39.861982	42.776087	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
42.776087	45.655361	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
45.655361	49.974273	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
49.974273	51.44874	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
51.44874	52.911597	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
52.911597	54.386064	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
54.386064	57.230509	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
57.230509	60.040123	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
60.040123	62.884568	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
62.884568	65.729012	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
65.729012	71.429511	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
71.429511	74.308785	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
74.308785	77.14162	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
77.14162	81.344431	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
81.344431	82.784069	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
82.784069	84.200486	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
84.200486	85.767833	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
85.767833	88.612277	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
88.612277	91.433502	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
91.433502	94.196676	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
94.196676	97.017901	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
97.017901	102.76484	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
102.76484	105.632504	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
105.632504	108.511778	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
108.511778	112.7262	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
112.7262	114.258717	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
114.258717	115.605475	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
115.605475	117.114772	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
117.114772	119.994046	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
119.994046	122.81527	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
122.81527	125.601665	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
125.601665	127.064522	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
127.064522	128.446109	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
128.446109	134.158218	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
134.158218	137.037493	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
137.037493	139.916767	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
139.916767	144.200849	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
144.200849	145.640486	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
145.640486	147.080123	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
147.080123	149.136676	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
149.136676	153.756735	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
