start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.439592	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.439592	1.108536	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
1.108536	2.841419	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
2.841419	4.606135	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
4.606135	6.599499	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
6.599499	6.812031	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
6.812031	7.102281	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
7.102281	8.158789	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
8.158789	15.298925	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
15.298925	18.956067	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
18.956067	22.58999	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
22.58999	24.401147	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
24.401147	26.189083	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
26.189083	28.202	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
28.202	28.461467	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
28.461467	28.800769	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
28.800769	29.788176	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
29.788176	37.079242	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
37.079242	40.713165	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
40.713165	44.370308	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
44.370308	46.169854	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
46.169854	47.981011	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
47.981011	50.094027	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
50.094027	50.268176	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
50.268176	50.593256	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
50.593256	51.614934	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
51.614934	58.882779	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
58.882779	62.493482	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
62.493482	66.150625	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
66.150625	68.019832	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
68.019832	69.830988	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
69.830988	71.632681	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
71.632681	73.499741	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
73.499741	80.802417	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
80.802417	84.44795	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
84.44795	88.105092	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
88.105092	89.904639	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
89.904639	91.750625	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
91.750625	93.56757	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
93.56757	95.419378	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
95.419378	102.768494	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
102.768494	106.460467	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
106.460467	110.129219	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
110.129219	111.986816	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
111.986816	113.786362	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
113.786362	115.642172	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
115.642172	115.921597	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
115.921597	116.154798	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
116.154798	116.421827	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
116.421827	117.358642	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
117.358642	124.723496	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
124.723496	128.426544	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
128.426544	132.106906	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
132.106906	133.918063	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
133.918063	135.729219	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
135.729219	137.577061	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
137.577061	137.868975	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
137.868975	138.088131	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
138.088131	138.364684	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
138.364684	139.397972	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
139.397972	144.682448	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
144.682448	153.469388	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
