start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.420489	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.420489	1.921537	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
1.921537	2.385936	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
2.385936	3.744303	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
3.744303	5.694779	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
5.694779	6.194008	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
6.194008	7.645256	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
7.645256	9.618952	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
9.618952	10.129791	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
10.129791	11.062412	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
11.062412	11.312776	D/7	2	1	0	1	1	0	0	0	1	0	0	1	0	0
11.312776	11.569428	A/3	9	1	0	1	0	0	1	0	0	0	0	1	0	0
11.569428	12.567886	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
12.567886	13.508294	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
13.508294	14.448702	E/3	4	8	0	0	0	0	1	0	0	0	1	0	0	1
14.448702	15.42394	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
15.42394	17.444076	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
17.444076	17.908476	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
17.908476	19.382943	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
19.382943	21.321809	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
21.321809	21.797818	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
21.797818	22.756186	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
22.756186	23.019645	D/7	2	1	0	1	1	0	0	0	1	0	0	1	0	0
23.019645	23.272285	A/3	9	1	0	1	0	0	1	0	0	0	0	1	0	0
