start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.47869	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.47869	0.861642	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
0.861642	2.56578	A:sus2	9	9	0	0	0	0	1	0	0	0	0	1	0	1
2.56578	3.101913	A:sus4	9	9	0	0	1	0	1	0	0	0	0	1	0	0
3.101913	3.988594	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
3.988594	5.67204	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
5.67204	7.276092	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
7.276092	7.754783	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
7.754783	8.98023	A:sus2	9	9	0	0	0	0	1	0	0	0	0	1	0	1
8.98023	9.573806	A:sus4	9	9	0	0	1	0	1	0	0	0	0	1	0	0
9.573806	10.96619	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
10.96619	12.696077	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
12.696077	14.226675	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
14.226675	14.705365	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
14.705365	15.911665	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
15.911665	16.371208	A:sus4	9	9	0	0	1	0	1	0	0	0	0	1	0	0
16.371208	17.839297	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
17.839297	19.638843	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
19.638843	21.3339	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
21.3339	23.087006	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
23.087006	24.623828	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
24.623828	25.00678	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
25.00678	26.423703	A:sus2	9	9	0	0	0	0	1	0	0	0	0	1	0	1
26.423703	27.017279	A:sus4	9	9	0	0	1	0	1	0	0	0	0	1	0	0
27.017279	28.369546	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
28.369546	30.099433	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
30.099433	31.631854	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
31.631854	32.053101	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
32.053101	33.412582	A:sus2	9	9	0	0	0	0	1	0	0	0	0	1	0	1
33.412582	33.833829	A:sus4	9	9	0	0	1	0	1	0	0	0	0	1	0	0
33.833829	35.323922	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
35.323922	37.065419	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
37.065419	38.620732	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
38.620732	39.080275	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
39.080275	40.420607	A:sus2	9	9	0	0	0	0	1	0	0	0	0	1	0	1
40.420607	40.822707	A:sus4	9	9	0	0	1	0	1	0	0	0	0	1	0	0
40.822707	42.324739	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
42.324739	44.019795	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
44.019795	45.761292	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
45.761292	47.502789	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
47.502789	49.13277	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
49.13277	49.573165	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
49.573165	50.894351	A:sus2	9	9	0	0	0	0	1	0	0	0	0	1	0	1
50.894351	51.315598	A:sus4	9	9	0	0	1	0	1	0	0	0	0	1	0	0
51.315598	52.750498	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
52.750498	54.526825	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
54.526825	56.291541	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
56.291541	59.809365	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
59.809365	61.516031	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
61.516031	63.292358	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
63.292358	65.103514	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
65.103514	68.586507	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
68.586507	70.397664	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
70.397664	71.937575	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
71.937575	72.358823	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
72.358823	73.772057	A:sus2	9	9	0	0	0	0	1	0	0	0	0	1	0	1
73.772057	74.181598	A:sus4	9	9	0	0	1	0	1	0	0	0	0	1	0	0
74.181598	75.691814	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
75.691814	77.47975	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
77.47975	79.027838	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
79.027838	79.437379	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
79.437379	80.761563	A:sus2	9	9	0	0	0	0	1	0	0	0	0	1	0	1
80.761563	81.185872	A:sus4	9	9	0	0	1	0	1	0	0	0	0	1	0	0
81.185872	82.72746	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
82.72746	84.445736	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
84.445736	86.198843	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
86.198843	87.97517	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
87.97517	89.566703	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
89.566703	89.962593	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
89.962593	91.353253	A:sus2	9	9	0	0	0	0	1	0	0	0	0	1	0	1
91.353253	91.851091	A:sus4	9	9	0	0	1	0	1	0	0	0	0	1	0	0
91.851091	93.338979	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
93.338979	95.126916	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
95.126916	96.868412	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
96.868412	100.409455	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
100.409455	102.209002	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
102.209002	103.996938	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
103.996938	105.796485	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
105.796485	109.360748	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
109.360748	111.171904	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
111.171904	112.760397	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
112.760397	113.197241	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
113.197241	114.521863	A:sus2	9	9	0	0	0	0	1	0	0	0	0	1	0	1
114.521863	114.94311	A:sus4	9	9	0	0	1	0	1	0	0	0	0	1	0	0
114.94311	116.512494	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
116.512494	118.31204	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
118.31204	119.886417	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
119.886417	120.323262	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
120.323262	121.568184	A:sus2	9	9	0	0	0	0	1	0	0	0	0	1	0	1
121.568184	122.046874	A:sus4	9	9	0	0	1	0	1	0	0	0	0	1	0	0
122.046874	123.64102	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
123.64102	125.324467	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
125.324467	127.216893	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
127.216893	128.93517	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
128.93517	130.548145	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
130.548145	130.957686	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
130.957686	132.418384	A:sus2	9	9	0	0	0	0	1	0	0	0	0	1	0	1
132.418384	132.882531	A:sus4	9	9	0	0	1	0	1	0	0	0	0	1	0	0
132.882531	134.333809	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
134.333809	137.781972	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
137.781972	141.369455	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
141.369455	141.960389	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
141.960389	143.312185	A:sus2	9	9	0	0	0	0	1	0	0	0	0	1	0	1
143.312185	143.99331	A:sus4	9	9	0	0	1	0	1	0	0	0	0	1	0	0
143.99331	147.532344	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
147.532344	151.510204	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
