start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.459543	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.459543	2.490907	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
2.490907	4.534263	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
4.534263	6.612448	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
6.612448	8.725464	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
8.725464	9.770362	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
9.770362	10.88492	E:min/5	4	11	0	0	0	0	1	0	0	1	0	0	0	1
10.88492	11.918208	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
11.918208	12.963106	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
12.963106	15.064512	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
15.064512	17.165918	G:aug	7	7	0	0	0	1	0	0	0	1	0	0	0	1
17.165918	18.280476	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
18.280476	19.325374	E:min/5	4	11	0	0	0	0	1	0	0	1	0	0	0	1
19.325374	20.416712	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
20.416712	21.496439	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
21.496439	23.563015	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
23.563015	25.687641	G:aug	7	7	0	0	0	1	0	0	0	1	0	0	0	1
25.687641	27.800657	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
27.800657	29.948503	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
29.948503	32.084739	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
32.084739	34.197755	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
34.197755	36.32238	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
36.32238	38.481836	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
38.481836	40.606462	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
40.606462	42.754308	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
42.754308	44.820884	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
44.820884	46.95712	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
46.95712	49.081746	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
49.081746	51.241201	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
51.241201	52.320929	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
52.320929	53.400657	E:min/5	4	11	0	0	0	0	1	0	0	1	0	0	0	1
53.400657	54.433945	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
54.433945	55.478843	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
55.478843	57.557029	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
57.557029	59.658435	G:aug	7	7	0	0	0	1	0	0	0	1	0	0	0	1
59.658435	60.738163	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
60.738163	61.806281	E:min/5	4	11	0	0	0	0	1	0	0	1	0	0	0	1
61.806281	62.874399	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
62.874399	63.919297	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
63.919297	66.032312	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
66.032312	68.156938	G:aug	7	7	0	0	0	1	0	0	0	1	0	0	0	1
68.156938	70.246734	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
70.246734	72.4178	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
72.4178	74.542426	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
74.542426	76.678662	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
76.678662	78.780068	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
78.780068	80.916303	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
80.916303	82.971269	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
82.971269	85.142335	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
85.142335	87.243741	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
87.243741	89.379977	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
89.379977	91.539433	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
91.539433	93.617619	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
93.617619	95.788684	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
95.788684	97.87848	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
97.87848	100.037936	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
100.037936	102.092902	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
102.092902	104.229138	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
104.229138	106.330544	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
106.330544	108.43195	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
108.43195	110.544965	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
110.544965	115.0197	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
115.0197	118.804898	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
