start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.497838	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.497838	4.151133	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
4.151133	4.987052	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
4.987052	5.89263	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
5.89263	6.774988	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
6.774988	7.668956	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
7.668956	8.504875	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
8.504875	9.364013	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
9.364013	11.14034	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
11.14034	12.022698	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
12.022698	12.870226	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
12.870226	13.717755	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
13.717755	14.623333	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
14.623333	15.494081	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
15.494081	16.341609	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
16.341609	18.129546	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
18.129546	19.859433	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
19.859433	21.600929	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
21.600929	23.354036	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
23.354036	25.141972	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
25.141972	26.848639	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
26.848639	28.590136	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
28.590136	29.484104	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
29.484104	30.354852	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
30.354852	32.119569	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
32.119569	33.013537	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
33.013537	33.861065	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
33.861065	34.731814	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
34.731814	35.637392	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
35.637392	36.48492	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
