start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.440395	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.440395	1.455218	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
1.455218	5.57916	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
5.57916	6.589229	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
6.589229	7.599297	G:maj6/5	7	2	0	0	1	0	1	0	0	1	0	0	0	1
7.599297	9.654263	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
9.654263	10.641111	E/5	4	11	0	0	0	0	1	0	0	0	1	0	0	1
10.641111	11.627959	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
11.627959	15.668231	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
15.668231	19.731723	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
19.731723	21.798299	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
21.798299	22.761927	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
22.761927	23.783605	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
23.783605	27.765827	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
27.765827	31.759659	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
31.759659	33.814625	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
33.814625	34.789863	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
34.789863	35.730272	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
35.730272	37.738798	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
37.738798	39.724104	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
39.724104	40.722562	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
40.722562	41.70941	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
41.70941	43.706326	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
43.706326	47.769818	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
47.769818	51.74043	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
51.74043	53.783786	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
53.783786	54.685578	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
54.685578	55.711043	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
55.711043	57.707959	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
57.707959	59.704875	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
59.704875	60.656893	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
60.656893	61.655351	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
61.655351	63.617437	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
63.617437	67.622879	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
67.622879	71.593492	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
71.593492	73.578798	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
73.578798	74.530816	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
74.530816	75.540884	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
75.540884	77.5378	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
77.5378	79.546326	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
79.546326	80.556394	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
80.556394	81.531632	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
81.531632	83.516938	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
83.516938	87.464331	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
87.464331	91.446553	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
91.446553	93.466689	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
93.466689	94.488367	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
94.488367	95.451995	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
95.451995	97.425691	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
97.425691	99.445827	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
99.445827	100.421065	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
100.421065	101.442743	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
101.442743	103.381609	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
103.381609	105.343696	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
105.343696	107.363832	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
107.363832	108.36229	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
108.36229	109.349138	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
109.349138	111.299614	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
111.299614	113.27331	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
113.27331	115.247006	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
115.247006	116.280294	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
116.280294	118.236499	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
118.236499	119.275668	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
119.275668	123.176583	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
123.176583	127.190204	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
