start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.459543	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.459543	1.225419	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
1.225419	4.441383	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
4.441383	6.438299	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
6.438299	8.458435	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
8.458435	10.548231	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
10.548231	12.522538	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
12.522538	14.565283	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
14.565283	16.562199	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
16.562199	18.651995	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
18.651995	20.648911	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
20.648911	22.703877	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
22.703877	24.735623	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
24.735623	26.790589	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
26.790589	28.810725	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
28.810725	30.830861	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
30.830861	32.874217	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
32.874217	33.698526	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
33.698526	36.821609	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
36.821609	37.657528	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
37.657528	40.885102	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
40.885102	42.916848	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
42.916848	45.006643	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
45.006643	47.073219	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
47.073219	49.128185	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
49.128185	51.171541	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
51.171541	53.226507	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
53.226507	55.316303	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
55.316303	57.348049	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
57.348049	59.437845	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
59.437845	61.492811	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
