start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.440395	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.440395	1.129709	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.129709	2.352018	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
2.352018	3.594285	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
3.594285	6.12526	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
6.12526	8.679455	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
8.679455	9.898503	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
9.898503	11.12916	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
11.12916	12.394648	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
12.394648	13.648526	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
13.648526	16.109841	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
16.109841	18.652426	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
18.652426	21.125351	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
21.125351	22.321179	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
22.321179	23.563446	G:min/5	7	2	0	0	1	0	0	0	0	1	0	0	1	0
23.563446	24.840544	F:min/5	5	0	1	0	0	0	0	1	0	0	1	0	0	0
24.840544	26.059591	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
26.059591	27.290249	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
27.290249	28.544126	G:min/5	7	2	0	0	1	0	0	0	0	1	0	0	1	0
28.544126	29.809614	F:min/5	5	0	1	0	0	0	0	1	0	0	1	0	0	0
29.809614	31.005442	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
31.005442	32.259319	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
32.259319	33.501587	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
33.501587	36.032562	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
36.032562	38.528707	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
38.528707	39.829024	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
39.829024	41.024852	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
41.024852	42.29034	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
42.29034	43.497777	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
43.497777	46.028752	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
46.028752	48.478458	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
48.478458	51.044263	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
51.044263	52.27492	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
52.27492	53.517188	G:min/5	7	2	0	0	1	0	0	0	0	1	0	0	1	0
53.517188	54.794285	F:min/5	5	0	1	0	0	0	0	1	0	0	1	0	0	0
54.794285	56.024943	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
56.024943	57.30204	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
57.30204	58.532698	G:min/5	7	2	0	0	1	0	0	0	0	1	0	0	1	0
58.532698	59.809795	F:min/5	5	0	1	0	0	0	0	1	0	0	1	0	0	0
59.809795	61.052063	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
61.052063	63.513378	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
63.513378	65.997913	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
65.997913	68.424399	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
68.424399	70.920544	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
70.920544	73.416689	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
73.416689	75.831564	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
