start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.382952	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.382952	3.849274	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
3.849274	7.343877	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
7.343877	10.79204	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
10.79204	14.240204	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
14.240204	19.557573	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
19.557573	22.216258	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
22.216258	23.121836	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
23.121836	27.419379	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
27.419379	28.311496	E:min/b7	4	2	0	0	1	0	1	0	0	1	0	0	0	1
28.311496	30.923741	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
30.923741	31.782879	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
31.782879	33.547596	E:min7	4	4	0	0	1	0	1	0	0	1	0	0	0	1
33.547596	35.312312	E:min6	4	4	0	1	0	0	1	0	0	1	0	0	0	1
35.312312	37.018979	C/3	0	4	1	0	0	0	1	0	0	1	0	0	0	0
37.018979	38.795306	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
38.795306	40.594852	E:min7	4	4	0	0	1	0	1	0	0	1	0	0	0	1
40.594852	42.266689	E:min6	4	4	0	1	0	0	1	0	0	1	0	0	0	1
42.266689	43.973356	C/3	0	4	1	0	0	0	1	0	0	1	0	0	0	0
43.973356	45.772902	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
45.772902	51.043832	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
51.043832	53.609637	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
53.609637	54.526825	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
54.526825	59.728095	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
59.728095	62.34034	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
62.34034	63.222698	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
63.222698	64.940975	E:min7	4	4	0	0	1	0	1	0	0	1	0	0	0	1
64.940975	66.682471	E:min6	4	4	0	1	0	0	1	0	0	1	0	0	0	1
66.682471	68.389138	C/3	0	4	1	0	0	0	1	0	0	1	0	0	0	0
68.389138	70.142244	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
70.142244	71.906961	E:min7	4	4	0	0	1	0	1	0	0	1	0	0	0	1
71.906961	73.625238	E:min6	4	4	0	1	0	0	1	0	0	1	0	0	0	1
73.625238	75.343514	C/3	0	4	1	0	0	0	1	0	0	1	0	0	0	0
75.343514	77.096621	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
77.096621	80.544784	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
80.544784	83.969727	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
83.969727	87.383061	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
87.383061	90.831224	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
90.831224	96.020884	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
96.020884	98.621519	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
98.621519	99.457437	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
99.457437	104.612267	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
104.612267	107.270952	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
107.270952	108.15331	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
108.15331	109.918027	E:min7	4	4	0	0	1	0	1	0	0	1	0	0	0	1
109.918027	111.671133	E:min6	4	4	0	1	0	0	1	0	0	1	0	0	0	1
111.671133	113.43585	C/3	0	4	1	0	0	0	1	0	0	1	0	0	0	0
113.43585	115.212176	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
115.212176	116.965283	E:min7	4	4	0	0	1	0	1	0	0	1	0	0	0	1
116.965283	118.67195	E:min6	4	4	0	1	0	0	1	0	0	1	0	0	0	1
118.67195	120.436666	C/3	0	4	1	0	0	0	1	0	0	1	0	0	0	0
120.436666	121.874545	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
121.874545	122.334088	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
122.334088	123.59783	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
123.59783	127.686531	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
