start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.497838	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.497838	7.692176	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
7.692176	14.936802	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
14.936802	16.759569	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
16.759569	18.559115	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
18.559115	22.216258	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
22.216258	29.414444	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
29.414444	31.19077	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
31.19077	32.990317	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
32.990317	36.64746	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
36.64746	38.435396	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
38.435396	40.200113	G:aug	7	7	0	0	0	1	0	0	0	1	0	0	0	1
40.200113	42.046099	B/5	11	6	0	0	0	1	0	0	1	0	0	0	0	1
42.046099	43.834036	F:dim	5	5	0	0	0	0	0	1	0	0	1	0	0	1
43.834036	45.645192	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
45.645192	49.255895	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
49.255895	51.090272	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
51.090272	58.300068	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
58.300068	60.099614	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
60.099614	61.887551	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
61.887551	65.533083	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
65.533083	67.33263	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
67.33263	69.132176	G:aug	7	7	0	0	0	1	0	0	0	1	0	0	0	1
69.132176	70.966553	B/5	11	6	0	0	0	1	0	0	1	0	0	0	0	1
70.966553	72.754489	F:dim	5	5	0	0	0	0	0	1	0	0	1	0	0	1
72.754489	74.612086	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
74.612086	78.222789	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
78.222789	80.022335	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
80.022335	80.962743	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
80.962743	81.891541	E/7	4	3	0	0	0	1	1	0	0	0	1	0	0	1
81.891541	82.80873	E/6	4	1	0	1	0	0	1	0	0	0	1	0	0	1
82.80873	83.702698	E/5	4	11	0	0	0	0	1	0	0	0	1	0	0	1
83.702698	87.290181	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
87.290181	89.089727	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
89.089727	90.889274	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
90.889274	94.511587	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
94.511587	101.651723	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
101.651723	103.462879	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
103.462879	105.227596	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
105.227596	108.896349	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
108.896349	114.294988	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
114.294988	117.719931	A/5	9	4	0	1	0	0	1	0	0	0	0	1	0	0
117.719931	121.756735	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
