start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.421247	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.421247	1.933628	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
1.933628	3.466145	B/7	11	10	0	0	0	1	0	0	1	0	0	0	1	1
3.466145	4.929002	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
4.929002	6.449909	B/5	11	6	0	0	0	1	0	0	1	0	0	0	0	1
6.449909	7.994036	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
7.994036	9.480113	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
9.480113	12.487097	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
12.487097	13.938344	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
13.938344	15.412811	B/7	11	10	0	0	0	1	0	0	1	0	0	0	1	1
15.412811	16.910498	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
16.910498	18.384965	B/5	11	6	0	0	0	1	0	0	1	0	0	0	0	1
18.384965	19.882653	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
19.882653	21.36873	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
21.36873	24.282834	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
24.282834	25.734081	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
25.734081	27.185328	G#:7	8	8	1	0	0	1	0	0	1	0	1	0	0	0
27.185328	30.041383	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
30.041383	31.44619	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
31.44619	32.897437	G#:7	8	8	1	0	0	1	0	0	1	0	1	0	0	0
32.897437	37.158299	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
37.158299	37.936167	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
37.936167	38.725646	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
38.725646	40.281383	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
40.281383	41.77907	B/7	11	10	0	0	0	1	0	0	1	0	0	0	1	1
41.77907	43.253537	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
43.253537	44.751224	B/5	11	6	0	0	0	1	0	0	1	0	0	0	0	1
44.751224	46.248911	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
46.248911	47.723378	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
47.723378	50.753582	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
50.753582	52.181609	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
52.181609	53.632857	B/7	11	10	0	0	0	1	0	0	1	0	0	0	1	1
53.632857	55.107324	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
55.107324	56.581791	B/5	11	6	0	0	0	1	0	0	1	0	0	0	0	1
56.581791	58.067868	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
58.067868	59.565555	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
59.565555	62.526099	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
62.526099	63.942517	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
63.942517	65.347324	G#:7	8	8	1	0	0	1	0	0	1	0	1	0	0	0
65.347324	68.226598	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
68.226598	69.619795	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
69.619795	71.012993	G#:7	8	8	1	0	0	1	0	0	1	0	1	0	0	0
71.012993	75.320294	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
75.320294	76.121383	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
76.121383	76.864421	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
76.864421	78.373718	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
78.373718	79.871405	B/7	11	10	0	0	0	1	0	0	1	0	0	0	1	1
79.871405	81.345873	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
81.345873	82.82034	B/5	11	6	0	0	0	1	0	0	1	0	0	0	0	1
82.82034	84.283197	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
84.283197	85.780884	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
85.780884	88.764648	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
88.764648	90.239115	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
90.239115	91.748412	B/7	11	10	0	0	0	1	0	0	1	0	0	0	1	1
91.748412	93.153219	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
93.153219	94.639297	B/5	11	6	0	0	0	1	0	0	1	0	0	0	0	1
94.639297	96.090544	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
96.090544	97.633669	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
97.633669	100.479115	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
100.479115	101.965192	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
101.965192	103.35839	G#:7	8	8	1	0	0	1	0	0	1	0	1	0	0	0
103.35839	106.020323	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
106.020323	107.619251	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
107.619251	109.000839	G#:7	8	8	1	0	0	1	0	0	1	0	1	0	0	0
109.000839	113.34297	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
113.34297	114.349534	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
114.349534	116.857871	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
116.857871	121.730612	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
