start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.440395	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.440395	1.724648	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
1.724648	3.504013	F:maj(9)/9	5	7	1	0	0	0	0	1	0	1	0	1	0	0
3.504013	7.483197	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
7.483197	11.10551	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
11.10551	14.437573	F:maj(9)/9	5	7	1	0	0	0	0	1	0	1	0	1	0	0
14.437573	17.955396	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
17.955396	21.461609	F:maj(9)/9	5	7	1	0	0	0	0	1	0	1	0	1	0	0
21.461609	22.529727	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
22.529727	23.400476	B:min/7	11	10	0	0	1	0	0	0	1	0	0	0	1	1
23.400476	24.294444	B:min/b7	11	9	0	0	1	0	0	0	1	0	0	1	0	1
24.294444	25.153582	B:min/6	11	8	0	0	1	0	0	0	1	0	1	0	0	1
25.153582	26.001111	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
26.001111	26.871859	B:min/7	11	10	0	0	1	0	0	0	1	0	0	0	1	1
26.871859	27.765827	B:min/b7	11	9	0	0	1	0	0	0	1	0	0	1	0	1
27.765827	28.601746	B:min/6	11	8	0	0	1	0	0	0	1	0	1	0	0	1
28.601746	29.495714	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
29.495714	30.378072	C/7	0	11	1	0	0	0	1	0	0	1	0	0	0	1
30.378072	31.24882	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
31.24882	32.084739	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
32.084739	35.532902	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
35.532902	38.911405	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
