start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.727609	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.727609	19.093174	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
19.093174	22.889637	Bb:maj(9)/9	10	0	1	0	1	0	0	1	0	0	0	0	1	0
22.889637	26.662879	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
26.662879	34.186145	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
34.186145	37.959387	Bb:maj(9)/9	10	0	1	0	1	0	0	1	0	0	0	0	1	0
37.959387	41.70941	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
41.70941	49.279115	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
49.279115	53.029138	Bb:maj(9)/9	10	0	1	0	1	0	0	1	0	0	0	0	1	0
53.029138	56.79077	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
56.79077	63.742398	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
63.742398	64.412564	B:maj/9	11	1	0	1	0	1	0	0	1	0	0	0	0	1
64.412564	65.235911	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
65.235911	66.001816	Bb:maj/9	10	0	1	0	1	0	0	1	0	0	0	0	1	0
66.001816	66.748573	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
66.748573	67.629363	Bb:maj/9	10	0	1	0	1	0	0	1	0	0	0	0	1	0
67.629363	80.994395	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
80.994395	83.11978	Bb:maj/9	10	0	1	0	1	0	0	1	0	0	0	0	1	0
83.11978	87.65009	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
87.65009	94.685736	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
94.685736	98.493809	Bb:maj(9)/9	10	0	1	0	1	0	0	1	0	0	0	0	1	0
98.493809	108.222298	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
108.222298	109.122236	Bb:maj/9	10	0	1	0	1	0	0	1	0	0	0	0	1	0
109.122236	109.987687	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
109.987687	113.842199	Bb:maj(9)/9	10	0	1	0	1	0	0	1	0	0	0	0	1	0
113.842199	117.661882	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
117.661882	125.312857	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
125.312857	129.097709	Bb:maj(9)/9	10	0	1	0	1	0	0	1	0	0	0	0	1	0
129.097709	132.998662	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
132.998662	140.672857	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
140.672857	144.538979	Bb:maj(9)/9	10	0	1	0	1	0	0	1	0	0	0	0	1	0
144.538979	148.323832	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
148.323832	152.166734	Bb:maj(9)/9	10	0	1	0	1	0	0	1	0	0	0	0	1	0
152.166734	155.974807	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
155.974807	159.771269	Bb:maj(9)/9	10	0	1	0	1	0	0	1	0	0	0	0	1	0
159.771269	163.614172	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
163.614172	167.433854	Bb:maj(9)/9	10	0	1	0	1	0	0	1	0	0	0	0	1	0
167.433854	171.381247	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
171.381247	175.066609	Bb:maj(9)/9	10	0	1	0	1	0	0	1	0	0	0	0	1	0
175.066609	176.292056	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
176.292056	177.266939	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
