start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	2.24027	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
2.24027	4.383333	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
4.383333	8.818344	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
8.818344	9.967732	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
9.967732	11.07068	B/3	11	3	0	0	0	1	0	0	1	0	0	0	0	1
11.07068	12.196848	F#:min/5	6	1	0	1	0	0	0	0	1	0	0	1	0	0
12.196848	13.334625	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
13.334625	14.402743	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
14.402743	15.494081	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
15.494081	17.711587	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
17.711587	18.779705	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
18.779705	19.871043	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
19.871043	22.065328	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
22.065328	23.145056	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
23.145056	24.224784	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
24.224784	26.43068	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
26.43068	27.452358	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
27.452358	28.578526	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
28.578526	30.749591	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
30.749591	31.840929	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
31.840929	32.920657	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
32.920657	35.080113	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
35.080113	37.216349	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
37.216349	39.410634	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
39.410634	43.578616	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
43.578616	44.646734	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
44.646734	45.703242	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
45.703242	47.885918	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
47.885918	48.942426	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
48.942426	50.033764	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
50.033764	52.204829	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
52.204829	53.284557	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
53.284557	54.329455	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
54.329455	56.488911	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
56.488911	57.545419	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
57.545419	58.578707	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
58.578707	60.738163	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
