start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.331451	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.331451	1.759478	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
1.759478	2.978526	C:aug	0	0	1	0	0	0	1	0	0	0	1	0	0	0
2.978526	4.32736	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
4.32736	6.705328	Bb:7	10	10	0	0	1	0	0	1	0	0	1	0	1	0
6.705328	7.854716	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
7.854716	9.004104	C:aug	0	0	1	0	0	0	1	0	0	0	1	0	0	0
9.004104	10.153492	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
10.153492	11.279659	F:min6/5	5	0	1	0	1	0	0	1	0	0	1	0	0	0
11.279659	13.555215	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
13.555215	15.777632	F:min6	5	5	1	0	1	0	0	1	0	0	1	0	0	0
15.777632	18.071496	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
18.071496	20.323832	F:min6	5	5	1	0	1	0	0	1	0	0	1	0	0	0
20.323832	22.576167	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
22.576167	24.840113	F:min6	5	5	1	0	1	0	0	1	0	0	1	0	0	0
24.840113	25.943061	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
25.943061	27.034399	C:aug	0	0	1	0	0	0	1	0	0	0	1	0	0	0
27.034399	28.102517	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
28.102517	29.240294	F:min6/5	5	0	1	0	1	0	0	1	0	0	1	0	0	0
29.240294	31.46941	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
31.46941	33.617256	F:min6	5	5	1	0	1	0	0	1	0	0	1	0	0	0
33.617256	35.811541	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
35.811541	37.947777	F:min6	5	5	1	0	1	0	0	1	0	0	1	0	0	0
37.947777	40.095623	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
40.095623	42.324739	F:min6	5	5	1	0	1	0	0	1	0	0	1	0	0	0
42.324739	43.439297	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
43.439297	44.530634	C:9(*3)	0	0	1	0	1	0	0	0	0	1	0	0	1	0
44.530634	45.587142	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
45.587142	46.64365	C:9(*3)	0	0	1	0	1	0	0	0	0	1	0	0	1	0
46.64365	47.723378	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
47.723378	48.756666	C:9(*3)	0	0	1	0	1	0	0	0	0	1	0	0	1	0
48.756666	50.927732	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
50.927732	52.01907	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
52.01907	53.087188	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
53.087188	54.155306	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
54.155306	55.176984	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
55.176984	56.279931	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
56.279931	57.359659	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
57.359659	59.495895	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
59.495895	60.633673	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
60.633673	61.690181	C:aug	0	0	1	0	0	0	1	0	0	0	1	0	0	0
61.690181	62.793129	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
62.793129	63.861247	F:min6/5	5	0	1	0	1	0	0	1	0	0	1	0	0	0
63.861247	66.009092	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
66.009092	68.098888	F:min6	5	5	1	0	1	0	0	1	0	0	1	0	0	0
68.098888	70.293174	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
70.293174	72.37136	F:min6	5	5	1	0	1	0	0	1	0	0	1	0	0	0
72.37136	74.530816	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
74.530816	76.609002	F:min6	5	5	1	0	1	0	0	1	0	0	1	0	0	0
76.609002	77.70034	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
77.70034	78.780068	C:aug	0	0	1	0	0	0	1	0	0	0	1	0	0	0
78.780068	79.836575	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
79.836575	80.869863	F:min6	5	5	1	0	1	0	0	1	0	0	1	0	0	0
80.869863	82.959659	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
82.959659	85.037845	F:min6	5	5	1	0	1	0	0	1	0	0	1	0	0	0
85.037845	87.092811	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
87.092811	89.147777	F:min6	5	5	1	0	1	0	0	1	0	0	1	0	0	0
89.147777	91.167913	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
91.167913	93.257709	F:min6	5	5	1	0	1	0	0	1	0	0	1	0	0	0
93.257709	94.302607	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
94.302607	95.370725	C:9(*3)	0	0	1	0	1	0	0	0	0	1	0	0	1	0
95.370725	96.415623	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
96.415623	97.448911	C:9(*3)	0	0	1	0	1	0	0	0	0	1	0	0	1	0
97.448911	98.482199	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
98.482199	99.503877	C:9(*3)	0	0	1	0	1	0	0	0	0	1	0	0	1	0
99.503877	101.593673	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
101.593673	102.626961	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
102.626961	103.671859	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
103.671859	104.705147	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
104.705147	105.691995	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
105.691995	106.736893	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
106.736893	107.746961	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
107.746961	109.801927	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
109.801927	110.881655	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
110.881655	111.949773	C:aug	0	0	1	0	0	0	1	0	0	0	1	0	0	0
111.949773	112.994671	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
112.994671	114.062789	F:min6	5	5	1	0	1	0	0	1	0	0	1	0	0	0
114.062789	116.140975	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
116.140975	118.21916	F:min6	5	5	1	0	1	0	0	1	0	0	1	0	0	0
118.21916	120.355396	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
120.355396	122.468412	F:min6/b3	5	8	1	0	1	0	0	1	0	0	1	0	0	0
122.468412	124.558208	F:min7/b3	5	8	1	0	0	1	0	1	0	0	1	0	0	0
124.558208	126.578344	F:min6/b3	5	8	1	0	1	0	0	1	0	0	1	0	0	0
126.578344	127.681292	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
127.681292	128.7378	C:aug	0	0	1	0	0	0	1	0	0	0	1	0	0	0
128.7378	129.771088	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
129.771088	130.862426	F:min6/5	5	0	1	0	1	0	0	1	0	0	1	0	0	0
130.862426	132.963832	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
132.963832	135.030408	F:min6	5	5	1	0	1	0	0	1	0	0	1	0	0	0
135.030408	137.096984	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
137.096984	139.18678	F:min6	5	5	1	0	1	0	0	1	0	0	1	0	0	0
139.18678	141.183696	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
141.183696	143.250272	F:min6	5	5	1	0	1	0	0	1	0	0	1	0	0	0
143.250272	145.374897	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
145.374897	147.395034	F:min6	5	5	1	0	1	0	0	1	0	0	1	0	0	0
147.395034	149.43839	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
149.43839	151.504965	F:min6	5	5	1	0	1	0	0	1	0	0	1	0	0	0
151.504965	153.525102	F:min7	5	5	1	0	0	1	0	1	0	0	1	0	0	0
153.525102	156.630204	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
