start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.440395	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.440395	4.035034	D:maj6	2	2	0	0	1	0	0	0	1	0	0	1	0	1
4.035034	7.483197	D:maj6	2	2	0	0	1	0	0	0	1	0	0	1	0	1
7.483197	10.88492	G:maj6/3	7	11	0	0	1	0	1	0	0	1	0	0	0	1
10.88492	14.228594	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
14.228594	17.641927	G:maj6/3	7	11	0	0	1	0	1	0	0	1	0	0	0	1
17.641927	19.371814	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
19.371814	21.062372	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
21.062372	22.747362	D:maj6	2	2	0	0	1	0	0	0	1	0	0	1	0	1
22.747362	24.413204	B:min7	11	11	0	0	1	0	0	0	1	0	0	1	0	1
24.413204	26.035941	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
26.035941	27.789047	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
27.789047	28.644826	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
28.644826	29.460884	G:min/5	7	2	0	0	1	0	0	0	0	1	0	0	1	0
29.460884	31.109501	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
31.109501	34.453174	Bb/3	10	2	0	0	1	0	0	1	0	0	0	0	1	0
34.453174	36.125011	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
36.125011	37.750408	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
37.750408	39.399024	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
39.399024	40.989591	D:min7	2	2	1	0	1	0	0	1	0	0	0	1	0	0
40.989591	44.422458	D:maj6	2	2	0	0	1	0	0	0	1	0	0	1	0	1
44.422458	47.700158	D:maj6	2	2	0	0	1	0	0	0	1	0	0	1	0	1
47.700158	50.985782	G:maj6/3	7	11	0	0	1	0	1	0	0	1	0	0	0	1
50.985782	54.294625	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
54.294625	57.580249	G:maj6/3	7	11	0	0	1	0	1	0	0	1	0	0	0	1
57.580249	59.228866	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
59.228866	60.900702	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
60.900702	62.537709	D:maj6	2	2	0	0	1	0	0	0	1	0	0	1	0	1
62.537709	64.255986	B:min7	11	11	0	0	1	0	0	0	1	0	0	1	0	1
64.255986	65.927823	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
65.927823	67.622879	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
67.622879	68.414415	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
68.414415	69.259886	G:min/5	7	2	0	0	1	0	0	0	0	1	0	0	1	0
69.259886	70.885283	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
70.885283	74.228956	Bb/3	10	2	0	0	1	0	0	1	0	0	0	0	1	0
74.228956	75.889183	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
75.889183	77.5378	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
77.5378	79.198027	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
79.198027	80.688034	D:min7	2	2	1	0	1	0	0	1	0	0	0	1	0	0
