start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	1.665842	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.665842	22.268672	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
22.268672	24.259614	D#:dim7	3	3	1	0	0	1	0	0	1	0	0	1	0	0
24.259614	28.172176	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
28.172176	30.645102	D#:dim7	3	3	1	0	0	1	0	0	1	0	0	1	0	0
30.645102	34.662154	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
34.662154	43.543786	D#:dim7	3	3	1	0	0	1	0	0	1	0	0	1	0	0
43.543786	48.941294	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
48.941294	68.548448	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
68.548448	70.548594	D#:dim7	3	3	1	0	0	1	0	0	1	0	0	1	0	0
70.548594	74.182517	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
74.182517	76.272312	D#:dim7	3	3	1	0	0	1	0	0	1	0	0	1	0	0
76.272312	79.826391	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
79.826391	87.6617	D#:dim7	3	3	1	0	0	1	0	0	1	0	0	1	0	0
87.6617	110.902964	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
110.902964	112.739251	D#:dim7	3	3	1	0	0	1	0	0	1	0	0	1	0	0
112.739251	116.222244	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
116.222244	118.30043	D#:dim7	3	3	1	0	0	1	0	0	1	0	0	1	0	0
118.30043	121.713764	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
121.713764	129.120929	D#:dim7	3	3	1	0	0	1	0	0	1	0	0	1	0	0
129.120929	133.765212	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
133.765212	231.992457	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
231.992457	236.721633	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
