start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.459543	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.459543	0.727609	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
0.727609	3.049795	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
3.049795	5.62721	C/9	0	2	1	0	1	0	1	0	0	1	0	0	0	0
5.62721	8.204625	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
8.204625	10.72399	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
10.72399	13.243356	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
13.243356	15.716281	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
15.716281	18.224036	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
18.224036	20.685351	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
20.685351	23.251156	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
23.251156	25.735691	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
25.735691	28.220226	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
28.220226	30.712768	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
30.712768	33.166077	F/9	5	7	1	0	0	0	0	1	0	1	0	1	0	0
33.166077	34.431564	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
34.431564	35.662222	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
35.662222	38.135147	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
38.135147	40.666122	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
40.666122	43.057777	F/9	5	7	1	0	0	0	0	1	0	1	0	1	0	0
43.057777	44.300045	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
44.300045	45.484263	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
45.484263	48.073287	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
48.073287	50.604263	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
50.604263	53.030748	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
53.030748	55.503673	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
55.503673	57.976598	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
57.976598	60.461133	F/9	5	7	1	0	0	0	0	1	0	1	0	1	0	0
60.461133	61.761451	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
61.761451	62.992108	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
62.992108	65.383764	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
65.383764	67.891519	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
67.891519	70.283174	F/9	5	7	1	0	0	0	0	1	0	1	0	1	0	0
70.283174	71.595102	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
71.595102	72.790929	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
72.790929	75.275464	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
75.275464	77.72517	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
77.72517	80.198095	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
80.198095	82.71746	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
82.71746	85.213605	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
85.213605	86.397823	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
86.397823	87.68653	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
87.68653	90.113015	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
90.113015	92.574331	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
