start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.440395	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.440395	1.014823	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
1.014823	2.353197	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
2.353197	3.583854	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
3.583854	6.126439	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
6.126439	6.788208	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
6.788208	8.715464	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
8.715464	9.980952	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
9.980952	11.223219	D/3	2	6	0	0	1	0	0	0	1	0	0	1	0	0
11.223219	12.604807	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
12.604807	13.196916	E:min/b7	4	2	0	0	1	0	1	0	0	1	0	0	0	1
13.196916	14.415963	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
14.415963	15.669841	D/3	2	6	0	0	1	0	0	0	1	0	0	1	0	0
15.669841	16.981768	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
16.981768	17.573877	E:min/b7	4	2	0	0	1	0	1	0	0	1	0	0	0	1
17.573877	18.781315	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
18.781315	19.977142	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
19.977142	21.2078	D/3	2	6	0	0	1	0	0	0	1	0	0	1	0	0
21.2078	22.484897	F#:dim/b7	6	4	1	0	0	0	1	0	1	0	0	1	0	0
22.484897	23.703945	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
23.703945	24.934603	D/b7	2	0	1	0	1	0	0	0	1	0	0	1	0	0
24.934603	26.15365	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
26.15365	26.757369	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
26.757369	27.953197	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
27.953197	29.172244	D/3	2	6	0	0	1	0	0	0	1	0	0	1	0	0
29.172244	30.472562	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
30.472562	31.064671	E:min/b7	4	2	0	0	1	0	1	0	0	1	0	0	0	1
31.064671	32.237278	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
32.237278	33.444716	D/3	2	6	0	0	1	0	0	0	1	0	0	1	0	0
33.444716	34.698594	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
