start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.068255	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.068255	1.324154	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
1.324154	1.583525	A:min/5	9	4	1	0	0	0	1	0	0	0	0	1	0	0
1.583525	1.829649	A:dim/b5	9	3	1	0	0	1	0	0	0	0	0	1	0	0
1.829649	2.131347	D:(1)	2	2	0	0	1	0	0	0	0	0	0	0	0	0
2.131347	10.737551	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
10.737551	12.873786	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
12.873786	17.111428	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
17.111428	21.40712	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
21.40712	23.508526	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
23.508526	24.599863	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
24.599863	25.633151	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
25.633151	27.780997	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
27.780997	29.905623	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
29.905623	30.962131	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
30.962131	32.041859	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
32.041859	33.109977	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
33.109977	34.143265	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
34.143265	36.256281	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
36.256281	38.335045	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
38.335045	39.437414	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
39.437414	40.505532	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
40.505532	41.53882	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
41.53882	42.606938	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
42.606938	44.631763	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
44.631763	46.80975	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
