start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.087386	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.087386	2.757936	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
2.757936	5.439841	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
5.439841	6.751768	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
6.751768	8.063696	Eb:7	3	3	0	1	0	1	0	0	0	1	0	0	1	0
8.063696	9.439772	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
9.439772	14.877694	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
14.877694	17.500917	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
17.500917	20.184512	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
20.184512	21.496439	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
21.496439	22.823953	Eb:7	3	3	0	1	0	1	0	0	0	1	0	0	1	0
22.823953	24.183433	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
24.183433	29.525617	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
29.525617	32.247278	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
32.247278	34.925243	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
34.925243	36.171451	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
36.171451	37.567613	Eb:7	3	3	0	1	0	1	0	0	0	1	0	0	1	0
37.567613	38.869651	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
38.869651	41.59331	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
41.59331	44.263605	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
44.263605	46.96873	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
46.96873	49.639024	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
49.639024	52.471099	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
52.471099	52.924082	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
