start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.114886	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.114886	8.482392	E:min(2)	4	4	0	0	0	0	1	0	1	1	0	0	0	1
8.482392	9.541814	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
9.541814	10.598321	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
10.598321	11.666439	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
11.666439	12.711337	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
12.711337	13.767845	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
13.767845	14.743083	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
14.743083	15.799591	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
15.799591	16.844489	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
16.844489	17.877777	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
17.877777	18.911065	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
18.911065	19.990793	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
19.990793	21.000861	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
21.000861	22.022539	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
22.022539	24.170385	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
24.170385	25.807392	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
25.807392	27.456009	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
27.456009	29.889421	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
29.889421	30.753242	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
30.753242	32.320589	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
32.320589	33.969206	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
33.969206	36.384081	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
36.384081	37.19678	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
37.19678	38.810566	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
38.810566	40.377913	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
40.377913	42.07297	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
