start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	10.403989	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.403989	18.076336	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
18.076336	20.615782	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
20.615782	25.700952	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
25.700952	30.797732	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
30.797732	33.340317	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
33.340317	35.940952	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
35.940952	40.979682	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
40.979682	51.347392	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
51.347392	56.455803	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
56.455803	61.498839	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
61.498839	64.013877	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
64.013877	66.521632	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
66.521632	71.606802	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
71.606802	81.753922	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
81.753922	86.931972	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
86.931972	91.982312	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
91.982312	94.524897	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
94.524897	97.079092	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
97.079092	99.280364	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
99.280364	101.459592	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
