start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.628039	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.628039	1.06458	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
1.06458	1.575419	A/3	9	1	0	1	0	0	1	0	0	0	0	1	0	0
1.575419	2.121088	A:maj(*5)	9	9	0	1	0	0	0	0	0	0	0	1	0	0
2.121088	2.597097	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.597097	3.107936	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
3.107936	3.641995	A/3	9	1	0	1	0	0	1	0	0	0	0	1	0	0
3.641995	4.106394	A:maj(*5)	9	9	0	1	0	0	0	0	0	0	0	1	0	0
4.106394	4.594013	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.594013	5.139682	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
5.139682	5.638911	A/3	9	1	0	1	0	0	1	0	0	0	0	1	0	0
5.638911	6.10331	A:maj(*5)	9	9	0	1	0	0	0	0	0	0	0	1	0	0
6.10331	6.602539	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6.602539	7.124988	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
7.124988	7.635827	A/3	9	1	0	1	0	0	1	0	0	0	0	1	0	0
7.635827	8.088616	A:maj(*5)	9	9	0	1	0	0	0	0	0	0	0	1	0	0
8.088616	8.413696	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8.413696	9.156734	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
9.156734	10.329342	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
10.329342	11.072593	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
11.072593	12.303038	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
12.303038	13.057687	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
13.057687	14.334784	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
14.334784	15.101043	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
15.101043	16.3317	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
16.3317	17.13453	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
17.13453	18.293786	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
18.293786	19.127869	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
19.127869	20.302312	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
20.302312	24.425238	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
24.425238	28.575754	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
28.575754	32.724988	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
32.724988	33.479637	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
33.479637	34.292335	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
34.292335	35.710295	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
35.710295	36.370521	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36.370521	37.171609	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
37.171609	37.891428	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
37.891428	40.074104	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
40.074104	41.336219	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
41.336219	42.08263	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
42.08263	43.313287	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
43.313287	44.102766	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
44.102766	45.379863	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
45.379863	46.134512	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
