start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.382952	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.382952	1.461099	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
1.461099	2.436337	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
2.436337	5.074117	A:min/4	9	2	1	0	1	0	1	0	0	0	0	1	0	0
5.074117	7.173208	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
7.173208	11.25992	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
11.25992	12.177881	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
12.177881	13.013027	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
13.013027	17.366883	A:min/4	9	2	1	0	1	0	1	0	0	0	0	1	0	0
17.366883	19.444954	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
19.444954	23.685595	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
23.685595	28.965136	A:9	9	9	0	1	0	0	1	0	0	1	0	1	0	1
28.965136	39.181916	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
39.181916	42.572029	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
42.572029	44.301916	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
44.301916	45.962142	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
45.962142	47.680419	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
47.680419	49.363866	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
49.363866	51.024092	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
51.024092	51.848401	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
51.848401	52.707539	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
52.707539	56.097653	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
56.097653	57.757879	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
57.757879	59.452936	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
59.452936	61.159603	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
61.159603	62.831439	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
62.831439	64.526496	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
64.526496	65.339195	F#/5	6	1	0	1	0	0	0	0	1	0	0	0	1	0
65.339195	66.209943	F/5	5	0	1	0	0	0	0	1	0	0	0	1	0	0
66.209943	67.905	E:min/5	4	11	0	0	0	0	1	0	0	1	0	0	0	1
67.905	69.611666	A:7/3	9	1	0	1	0	0	1	0	0	1	0	1	0	0
69.611666	71.678242	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
71.678242	72.107811	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
72.107811	72.53738	F#:dim/b3	6	9	1	0	0	0	0	0	1	0	0	1	0	0
72.53738	72.95534	B:dim	11	11	0	0	1	0	0	1	0	0	0	0	0	1
72.95534	74.638786	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
74.638786	76.299013	E/5	4	11	0	0	0	0	1	0	0	0	1	0	0	1
76.299013	78.06373	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
78.06373	78.307539	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
78.307539	78.748718	D/2	2	4	0	0	1	0	1	0	1	0	0	1	0	0
78.748718	79.677517	D/3	2	6	0	0	1	0	0	0	1	0	0	1	0	0
79.677517	83.0328	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
83.0328	84.669807	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
84.669807	86.341643	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
86.341643	87.99026	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
87.99026	89.720147	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
89.720147	91.357154	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
91.357154	92.193072	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
92.193072	93.02899	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
93.02899	96.314614	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
96.314614	97.974841	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
97.974841	99.600238	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
99.600238	101.202414	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
101.202414	102.862641	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
102.862641	104.534478	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
104.534478	105.382006	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
105.382006	106.241145	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
106.241145	109.561598	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
109.561598	111.163775	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
111.163775	112.742732	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
112.742732	114.414569	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
114.414569	116.016746	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
116.016746	117.688582	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
117.688582	118.512891	F#/5	6	1	0	1	0	0	0	0	1	0	0	0	1	0
118.512891	119.348809	F/5	5	0	1	0	0	0	0	1	0	0	0	1	0	0
119.348809	121.067086	E:min/5	4	11	0	0	0	0	1	0	0	1	0	0	0	1
121.067086	122.680873	A:7/3	9	1	0	1	0	0	1	0	0	1	0	1	0	0
122.680873	124.828718	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
124.828718	125.246678	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
125.246678	125.618197	F#:dim/b3	6	9	1	0	0	0	0	0	1	0	0	1	0	0
125.618197	126.082596	B:dim	11	11	0	0	1	0	0	1	0	0	0	0	0	1
126.082596	127.777653	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
127.777653	129.403049	E/5	4	11	0	0	0	0	1	0	0	0	1	0	0	1
129.403049	131.109716	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
131.109716	131.376746	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
131.376746	131.783095	D/2	2	4	0	0	1	0	1	0	1	0	0	1	0	0
131.783095	132.735113	D/3	2	6	0	0	1	0	0	0	1	0	0	1	0	0
132.735113	135.985907	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
135.985907	137.657743	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
137.657743	139.30636	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
139.30636	140.989807	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
140.989807	142.684863	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
142.684863	144.34509	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
144.34509	145.157789	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
145.157789	146.040147	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
146.040147	149.32577	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
149.32577	150.927947	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
150.927947	152.518514	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
152.518514	154.167131	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
154.167131	155.838968	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
155.838968	157.487585	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
157.487585	158.160963	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
158.160963	159.089761	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
159.089761	160.131472	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
160.131472	161.358367	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
