start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.432952	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.432952	1.950498	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
1.950498	3.471405	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
3.471405	5.038752	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
5.038752	6.582879	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
6.582879	8.080566	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
8.080566	9.647913	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
9.647913	11.25009	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
11.25009	12.875487	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
12.875487	14.419614	Eb:aug	3	3	0	0	0	1	0	0	0	1	0	0	0	1
14.419614	15.998571	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
15.998571	17.519478	C#:hdim7	1	1	0	1	0	0	1	0	0	1	0	0	0	1
17.519478	19.005555	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
19.005555	20.642562	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
20.642562	22.244739	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
22.244739	23.777256	Eb:aug	3	3	0	0	0	1	0	0	0	1	0	0	0	1
23.777256	25.286553	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
25.286553	26.88873	C#:hdim7	1	1	0	1	0	0	1	0	0	1	0	0	0	1
26.88873	28.398027	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
28.398027	29.942154	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
29.942154	31.486281	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
31.486281	33.053628	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
33.053628	34.586145	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
34.586145	36.118662	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
36.118662	37.662789	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
37.662789	39.230136	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
39.230136	40.762653	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
40.762653	42.30678	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
42.30678	43.839297	Eb:aug	3	3	0	0	0	1	0	0	0	1	0	0	0	1
43.839297	45.360204	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
45.360204	46.927551	C#:hdim7	1	1	0	1	0	0	1	0	0	1	0	0	0	1
46.927551	48.460068	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
48.460068	50.004195	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
50.004195	51.606371	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
51.606371	53.127278	Eb:aug	3	3	0	0	0	1	0	0	0	1	0	0	0	1
53.127278	54.729455	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
54.729455	56.238752	C#:hdim7	1	1	0	1	0	0	1	0	0	1	0	0	0	1
56.238752	57.782879	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
57.782879	59.350226	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
59.350226	60.871133	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
60.871133	62.45009	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
62.45009	64.029047	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
64.029047	65.549954	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
65.549954	67.094081	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
67.094081	68.649818	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
68.649818	70.263605	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
70.263605	71.877392	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
71.877392	73.456349	Eb:aug	3	3	0	0	0	1	0	0	0	1	0	0	0	1
73.456349	75.058526	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
75.058526	76.649092	C#:hdim7	1	1	0	1	0	0	1	0	0	1	0	0	0	1
76.649092	78.216439	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
78.216439	79.772176	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
79.772176	81.351133	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
81.351133	82.9417	Eb:aug	3	3	0	0	0	1	0	0	0	1	0	0	0	1
82.9417	84.601927	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
84.601927	86.238934	C#:hdim7	1	1	0	1	0	0	1	0	0	1	0	0	0	1
86.238934	87.713401	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
87.713401	89.245918	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
89.245918	90.848095	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
90.848095	92.450272	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
92.450272	93.994399	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
93.994399	95.608185	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
95.608185	97.175532	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
97.175532	98.766099	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
98.766099	100.368276	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
100.368276	102.005283	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
102.005283	103.59585	Eb:aug	3	3	0	0	0	1	0	0	0	1	0	0	0	1
103.59585	105.186417	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
105.186417	106.811814	C#:hdim7	1	1	0	1	0	0	1	0	0	1	0	0	0	1
106.811814	108.344331	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
108.344331	109.958117	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
109.958117	111.583514	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
111.583514	113.208911	Eb:aug	3	3	0	0	0	1	0	0	0	1	0	0	0	1
113.208911	114.857528	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
114.857528	116.471315	C#:hdim7	1	1	0	1	0	0	1	0	0	1	0	0	0	1
116.471315	118.015442	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
118.015442	119.640839	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
119.640839	121.219795	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
121.219795	122.798752	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
122.798752	124.377709	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
124.377709	125.956666	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
125.956666	127.512403	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
127.512403	129.10297	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
129.10297	130.670317	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
130.670317	132.168004	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
132.168004	133.793401	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
133.793401	135.337528	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
135.337528	136.939705	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
136.939705	138.495442	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
138.495442	140.097619	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
140.097619	141.664965	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
141.664965	143.185873	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
143.185873	144.788049	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
144.788049	146.343786	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
146.343786	147.922743	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
147.922743	149.49009	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
149.49009	151.057437	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
151.057437	154.762698	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
154.762698	181.890612	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
