start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	1.263742	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.263742	3.122845	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
3.122845	4.074863	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
4.074863	5.073321	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
5.073321	8.846564	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
8.846564	12.503707	E:min/5	4	11	0	0	0	0	1	0	0	1	0	0	0	1
12.503707	16.18407	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
16.18407	18.877585	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
18.877585	19.759943	C/3	0	4	1	0	0	0	1	0	0	1	0	0	0	0
19.759943	23.440306	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
23.440306	24.470647	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
24.470647	25.321122	G:sus4(2)/2	7	9	1	0	1	0	0	0	0	1	0	1	0	0
25.321122	27.190328	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
27.190328	29.024705	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
29.024705	30.824251	Ab:aug	8	8	1	0	0	0	1	0	0	0	1	0	0	0
30.824251	32.600578	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
32.600578	34.411734	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
34.411734	36.234501	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
36.234501	37.186519	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
37.186519	38.126927	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
38.126927	41.88856	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
41.88856	45.545702	E:min/5	4	11	0	0	0	0	1	0	0	1	0	0	0	1
45.545702	49.168015	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
49.168015	51.87314	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
51.87314	52.790328	C/3	0	4	1	0	0	0	1	0	0	1	0	0	0	0
52.790328	56.412641	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
56.412641	57.306609	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
57.306609	58.258628	G:sus4(2)/2	7	9	1	0	1	0	0	0	0	1	0	1	0	0
58.258628	60.023344	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
60.023344	61.822891	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
61.822891	63.634047	Ab:aug	8	8	1	0	0	0	1	0	0	0	1	0	0	0
63.634047	65.398764	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
65.398764	67.23314	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
67.23314	69.102346	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
69.102346	70.080257	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
70.080257	71.01849	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
71.01849	74.628696	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
74.628696	76.370192	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
76.370192	78.045663	C#:min/5	1	8	0	1	0	0	1	0	0	0	1	0	0	0
78.045663	79.713866	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
