start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.4021	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.4021	1.527278	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
1.527278	2.676666	D:min/2	2	4	0	0	1	0	1	1	0	0	0	1	0	0
2.676666	3.744784	D:min/b3	2	5	0	0	1	0	0	1	0	0	0	1	0	0
3.744784	4.44963	D:min/4	2	7	0	0	1	0	0	1	0	1	0	1	0	0
4.44963	4.789682	D:min/5	2	9	0	0	1	0	0	1	0	0	0	1	0	0
4.789682	7.007188	E:9	4	4	0	0	1	0	1	0	1	0	1	0	0	1
7.007188	9.317573	Bb:7	10	10	0	0	1	0	0	1	0	0	1	0	1	0
9.317573	13.531995	A:aug	9	9	0	1	0	0	0	1	0	0	0	1	0	0
13.531995	26.871859	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
26.871859	27.955512	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
27.955512	28.996485	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
28.996485	30.080897	D:min7(2,*b3,4)	2	2	1	0	1	0	1	1	0	1	0	1	0	0
30.080897	31.121111	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
31.121111	31.62034	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
31.62034	32.189229	G#:aug	8	8	1	0	0	0	1	0	0	0	1	0	0	0
32.189229	35.155014	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
35.155014	36.38043	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
36.38043	48.698616	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
48.698616	49.662244	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
49.662244	50.695532	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
50.695532	51.71721	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
51.71721	52.750498	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
52.750498	53.110408	D:(1,4)	2	2	0	0	1	0	0	0	0	1	0	0	0	0
53.110408	53.458707	D#:(1,4)	3	3	0	0	0	1	0	0	0	0	1	0	0	0
53.458707	53.818616	E:(1,4)	4	4	0	0	0	0	1	0	0	0	0	1	0	0
53.818616	65.707233	E:9	4	4	0	0	1	0	1	0	1	0	1	0	0	1
65.707233	78.037029	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
78.037029	79.047097	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
79.047097	80.068775	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
80.068775	81.090453	D:min7(2,*b3,4)	2	2	1	0	1	0	1	1	0	1	0	1	0	0
81.090453	82.135351	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
82.135351	82.58814	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
82.58814	83.087369	G#:aug	8	8	1	0	0	0	1	0	0	0	1	0	0	0
83.087369	85.991922	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
85.991922	87.185691	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
87.185691	99.445827	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
99.445827	100.479115	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
100.479115	101.477573	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
101.477573	102.522471	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
102.522471	103.567369	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
103.567369	103.880839	D:(1,4)	2	2	0	0	1	0	0	0	0	1	0	0	0	0
103.880839	104.182698	D#:(1,4)	3	3	0	0	0	1	0	0	0	0	1	0	0	0
104.182698	104.589047	E:(1,4)	4	4	0	0	0	0	1	0	0	0	0	1	0	0
104.589047	116.686643	E:9	4	4	0	0	1	0	1	0	1	0	1	0	0	1
116.686643	117.998571	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
117.998571	119.252448	D:min/2	2	4	0	0	1	0	1	1	0	0	0	1	0	0
119.252448	120.517936	D:min/b3	2	5	0	0	1	0	0	1	0	0	0	1	0	0
120.517936	121.368424	D:min/4	2	7	0	0	1	0	0	1	0	1	0	1	0	0
121.368424	121.806643	D:min/5	2	9	0	0	1	0	0	1	0	0	0	1	0	0
121.806643	124.302789	E:9	4	4	0	0	1	0	1	0	1	0	1	0	0	1
124.302789	126.740884	Bb:7	10	10	0	0	1	0	0	1	0	0	1	0	1	0
126.740884	129.237029	A:aug	9	9	0	1	0	0	0	1	0	0	0	1	0	0
129.237029	130.510118	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
130.510118	131.709954	D:min/2	2	4	0	0	1	0	1	1	0	0	0	1	0	0
131.709954	132.940612	D:min/b3	2	5	0	0	1	0	0	1	0	0	0	1	0	0
132.940612	133.77552	D:min/4	2	7	0	0	1	0	0	1	0	1	0	1	0	0
133.77552	134.171269	D:min/5	2	9	0	0	1	0	0	1	0	0	0	1	0	0
134.171269	136.620975	E:9	4	4	0	0	1	0	1	0	1	0	1	0	0	1
136.620975	139.0939	Bb:7	10	10	0	0	1	0	0	1	0	0	1	0	1	0
139.0939	144.219808	A:aug	9	9	0	1	0	0	0	1	0	0	0	1	0	0
144.219808	158.180702	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
158.180702	159.27204	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
159.27204	160.351768	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
160.351768	161.454716	D:min7(2,*b3,4)	2	2	1	0	1	0	1	1	0	1	0	1	0	0
161.454716	162.464784	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
162.464784	162.964013	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
162.964013	163.532902	G#:aug	8	8	1	0	0	0	1	0	0	0	1	0	0	0
163.532902	165.645918	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
165.645918	167.758934	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
167.758934	180.564739	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
180.564739	181.656077	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
181.656077	182.735804	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
182.735804	183.780702	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
183.780702	184.84882	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
184.84882	185.18551	D:(1,4)	2	2	0	0	1	0	0	0	0	1	0	0	0	0
185.18551	185.487369	D#:(1,4)	3	3	0	0	0	1	0	0	0	0	1	0	0	0
185.487369	185.870498	E:(1,4)	4	4	0	0	0	0	1	0	0	0	0	1	0	0
185.870498	198.216071	E:9	4	4	0	0	1	0	1	0	1	0	1	0	0	1
198.216071	199.489002	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
199.489002	200.800929	D:min/2	2	4	0	0	1	0	1	1	0	0	0	1	0	0
200.800929	202.031587	D:min/b3	2	5	0	0	1	0	0	1	0	0	0	1	0	0
202.031587	202.832675	D:min/4	2	7	0	0	1	0	0	1	0	1	0	1	0	0
202.832675	203.320294	D:min/5	2	9	0	0	1	0	0	1	0	0	0	1	0	0
203.320294	205.77	E:9	4	4	0	0	1	0	1	0	1	0	1	0	0	1
205.77	208.173265	Bb:7	10	10	0	0	1	0	0	1	0	0	1	0	1	0
208.173265	210.68102	A:aug	9	9	0	1	0	0	0	1	0	0	0	1	0	0
210.68102	211.969727	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
211.969727	213.153945	D:min/2	2	4	0	0	1	0	1	1	0	0	0	1	0	0
213.153945	214.431043	D:min/b3	2	5	0	0	1	0	0	1	0	0	0	1	0	0
214.431043	215.232131	D:min/4	2	7	0	0	1	0	0	1	0	1	0	1	0	0
215.232131	215.71975	D:min/5	2	9	0	0	1	0	0	1	0	0	0	1	0	0
215.71975	218.157845	E:9	4	4	0	0	1	0	1	0	1	0	1	0	0	1
218.157845	220.6656	Bb:7	10	10	0	0	1	0	0	1	0	0	1	0	1	0
220.6656	225.669501	A:aug	9	9	0	1	0	0	0	1	0	0	0	1	0	0
225.669501	238.034126	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
238.034126	239.067414	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
239.067414	240.089092	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
240.089092	241.11077	D:min7(2,*b3,4)	2	2	1	0	1	0	1	1	0	1	0	1	0	0
241.11077	242.155668	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
242.155668	242.654897	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
242.654897	243.165736	G#:aug	8	8	1	0	0	0	1	0	0	0	1	0	0	0
243.165736	247.206009	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
247.206009	259.535804	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
259.535804	260.545873	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
260.545873	261.60238	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
261.60238	262.682108	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
262.682108	263.680566	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
263.680566	264.028866	D:(1,4)	2	2	0	0	1	0	0	0	0	1	0	0	0	0
264.028866	264.330725	D#:(1,4)	3	3	0	0	0	1	0	0	0	0	1	0	0	0
264.330725	264.658282	E:(1,4)	4	4	0	0	0	0	1	0	0	0	0	1	0	0
264.658282	276.989344	E:9	4	4	0	0	1	0	1	0	1	0	1	0	0	1
276.989344	278.193038	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
278.193038	279.563015	D:min/2	2	4	0	0	1	0	1	1	0	0	0	1	0	0
279.563015	280.816893	D:min/b3	2	5	0	0	1	0	0	1	0	0	0	1	0	0
280.816893	282.05916	D:min/4	2	7	0	0	1	0	0	1	0	1	0	1	0	0
282.05916	283.745369	E:9	4	4	0	0	1	0	1	0	1	0	1	0	0	1
283.745369	284.124864	C:(1)	0	0	1	0	0	0	0	0	0	0	0	0	0	0
284.124864	284.520476	B:(1)	11	11	0	0	0	0	0	0	0	0	0	0	0	1
284.520476	286.970181	Bb:7	10	10	0	0	1	0	0	1	0	0	1	0	1	0
286.970181	289.454716	A:aug	9	9	0	1	0	0	0	1	0	0	0	1	0	0
289.454716	290.685374	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
290.685374	291.939251	D:min/2	2	4	0	0	1	0	1	1	0	0	0	1	0	0
291.939251	293.146689	D:min/b3	2	5	0	0	1	0	0	1	0	0	0	1	0	0
293.146689	294.029047	D:min/4	2	7	0	0	1	0	0	1	0	1	0	1	0	0
294.029047	294.481836	D:min/5	2	9	0	0	1	0	0	1	0	0	0	1	0	0
294.481836	296.13247	E:9	4	4	0	0	1	0	1	0	1	0	1	0	0	1
296.13247	296.521695	C:(1)	0	0	1	0	0	0	0	0	0	0	0	0	0	0
296.521695	296.908321	B:(1)	11	11	0	0	0	0	0	0	0	0	0	0	0	1
296.908321	299.416077	Bb:7	10	10	0	0	1	0	0	1	0	0	1	0	1	0
299.416077	301.923832	A:aug	9	9	0	1	0	0	0	1	0	0	0	1	0	0
301.923832	303.154489	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
303.154489	304.443197	D:min/2	2	4	0	0	1	0	1	1	0	0	0	1	0	0
304.443197	305.743514	D:min/b3	2	5	0	0	1	0	0	1	0	0	0	1	0	0
305.743514	306.579433	D:min/4	2	7	0	0	1	0	0	1	0	1	0	1	0	0
306.579433	307.009002	D:min/5	2	9	0	0	1	0	0	1	0	0	0	1	0	0
307.009002	308.67526	E:9	4	4	0	0	1	0	1	0	1	0	1	0	0	1
308.67526	309.074216	C:(1)	0	0	1	0	0	0	0	0	0	0	0	0	0	0
309.074216	309.505147	B:(1)	11	11	0	0	0	0	0	0	0	0	0	0	0	1
309.505147	311.966462	Bb:7	10	10	0	0	1	0	0	1	0	0	1	0	1	0
311.966462	314.474217	A:aug	9	9	0	1	0	0	0	1	0	0	0	1	0	0
314.474217	315.670045	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
315.670045	316.923922	D:min/2	2	4	0	0	1	0	1	1	0	0	0	1	0	0
316.923922	318.23585	D:min/b3	2	5	0	0	1	0	0	1	0	0	0	1	0	0
318.23585	319.025328	D:min/4	2	7	0	0	1	0	0	1	0	1	0	1	0	0
319.025328	319.431678	D:min/5	2	9	0	0	1	0	0	1	0	0	0	1	0	0
319.431678	321.081822	E:9	4	4	0	0	1	0	1	0	1	0	1	0	0	1
321.081822	321.480778	C:(1)	0	0	1	0	0	0	0	0	0	0	0	0	0	0
321.480778	321.881383	B:(1)	11	11	0	0	0	0	0	0	0	0	0	0	0	1
321.881383	324.389138	Bb:7	10	10	0	0	1	0	0	1	0	0	1	0	1	0
324.389138	326.896893	A:aug	9	9	0	1	0	0	0	1	0	0	0	1	0	0
326.896893	328.127551	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
328.127551	329.393038	D:min/2	2	4	0	0	1	0	1	1	0	0	0	1	0	0
329.393038	330.635306	D:min/b3	2	5	0	0	1	0	0	1	0	0	0	1	0	0
330.635306	331.436394	D:min/4	2	7	0	0	1	0	0	1	0	1	0	1	0	0
331.436394	331.924013	D:min/5	2	9	0	0	1	0	0	1	0	0	0	1	0	0
331.924013	333.595421	E:9	4	4	0	0	1	0	1	0	1	0	1	0	0	1
333.595421	333.984647	C:(1)	0	0	1	0	0	0	0	0	0	0	0	0	0	0
333.984647	334.373718	B:(1)	11	11	0	0	0	0	0	0	0	0	0	0	0	1
334.373718	336.904693	Bb:7	10	10	0	0	1	0	0	1	0	0	1	0	1	0
336.904693	339.458888	A:aug	9	9	0	1	0	0	0	1	0	0	0	1	0	0
339.458888	340.643106	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
340.643106	341.966643	D:min/2	2	4	0	0	1	0	1	1	0	0	0	1	0	0
341.966643	343.220521	D:min/b3	2	5	0	0	1	0	0	1	0	0	0	1	0	0
343.220521	344.033219	D:min/4	2	7	0	0	1	0	0	1	0	1	0	1	0	0
344.033219	344.486009	D:min/5	2	9	0	0	1	0	0	1	0	0	0	1	0	0
344.486009	346.157673	E:9	4	4	0	0	1	0	1	0	1	0	1	0	0	1
346.157673	346.546899	C:(1)	0	0	1	0	0	0	0	0	0	0	0	0	0	0
