start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	1.646695	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
1.646695	3.036575	E/b7	4	2	0	0	1	0	1	0	0	0	1	0	0	1
3.036575	4.441383	E/6	4	1	0	1	0	0	1	0	0	0	1	0	0	1
4.441383	5.91585	E/5	4	11	0	0	0	0	1	0	0	0	1	0	0	1
5.91585	8.899614	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
8.899614	11.860158	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
11.860158	14.867142	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
14.867142	17.734807	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
17.734807	20.672131	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
20.672131	23.621065	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
23.621065	26.57	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
26.57	29.530544	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
29.530544	30.272373	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
30.272373	31.038278	D:min/2	2	4	0	0	1	0	1	1	0	0	0	1	0	0
31.038278	31.785035	D:min/b3	2	5	0	0	1	0	0	1	0	0	0	1	0	0
31.785035	32.512644	D:min/4	2	7	0	0	1	0	0	1	0	1	0	1	0	0
32.512644	35.451632	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
35.451632	36.15069	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
36.15069	36.929205	D:min/b7	2	0	1	0	1	0	0	1	0	0	0	1	0	0
36.929205	37.682499	D:min/6	2	11	0	0	1	0	0	1	0	0	0	1	0	1
37.682499	38.354126	D:min/5	2	9	0	0	1	0	0	1	0	0	0	1	0	0
38.354126	41.361111	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
41.361111	42.475668	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
42.475668	43.567006	C/7	0	11	1	0	0	0	1	0	0	1	0	0	0	1
43.567006	44.263605	C/6	0	9	1	0	0	0	1	0	0	1	0	1	0	0
44.263605	47.270589	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
47.270589	48.419977	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
48.419977	51.65916	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
51.65916	54.666145	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
54.666145	57.684739	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
57.684739	60.691723	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
60.691723	63.629047	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
63.629047	66.612811	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
66.612811	69.584965	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
69.584965	72.49907	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
72.49907	75.517664	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
75.517664	78.478208	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
78.478208	81.450362	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
81.450362	84.387687	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
84.387687	87.371451	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
87.371451	90.331995	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
90.331995	93.292539	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
93.292539	94.090972	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
94.090972	94.800886	D:min/2	2	4	0	0	1	0	1	1	0	0	0	1	0	0
94.800886	95.524453	D:min/b3	2	5	0	0	1	0	0	1	0	0	0	1	0	0
95.524453	96.287913	D:min/4	2	7	0	0	1	0	0	1	0	1	0	1	0	0
96.287913	99.329727	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
99.329727	100.084376	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
100.084376	100.850634	D:min/b7	2	0	1	0	1	0	0	1	0	0	0	1	0	0
100.850634	101.524013	D:min/6	2	11	0	0	1	0	0	1	0	0	0	1	0	1
101.524013	102.255442	D:min/5	2	9	0	0	1	0	0	1	0	0	0	1	0	0
102.255442	105.262426	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
105.262426	106.376984	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
106.376984	107.479931	C/7	0	11	1	0	0	0	1	0	0	1	0	0	0	1
107.479931	108.24619	C/6	0	9	1	0	0	0	1	0	0	1	0	1	0	0
108.24619	111.241564	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
111.241564	112.379342	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
112.379342	116.781281	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
116.781281	117.733878	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
