start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	10.454596	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.454596	14.628775	G:maj(*1)/5	7	2	0	0	1	0	0	0	0	0	0	0	0	1
14.628775	18.826145	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
18.826145	24.259614	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
24.259614	25.350952	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
25.350952	26.43068	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
26.43068	27.476822	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
27.476822	28.590136	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
28.590136	33.965555	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
33.965555	35.056893	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
35.056893	36.159841	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
36.159841	37.239569	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
37.239569	38.261247	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
38.261247	39.886643	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
39.886643	40.954761	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
40.954761	41.53526	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
41.53526	43.090997	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
43.090997	44.159115	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
44.159115	44.728004	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
44.728004	46.318571	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
46.318571	47.409909	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
47.409909	49.688051	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
49.688051	53.981156	G:maj(*1)/5	7	2	0	0	1	0	0	0	0	0	0	0	0	1
53.981156	58.334897	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
58.334897	63.733537	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
63.733537	64.848095	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
64.848095	65.927823	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
65.927823	67.03077	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
67.03077	68.075668	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
68.075668	73.567188	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
73.567188	74.670136	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
74.670136	75.738253	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
75.738253	76.864421	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
76.864421	77.920929	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
77.920929	79.523106	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
79.523106	80.649274	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
80.649274	81.206553	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
81.206553	82.85517	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
82.85517	83.911678	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
83.911678	84.503786	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
84.503786	86.071133	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
86.071133	87.174081	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
87.174081	89.898035	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
89.898035	91.492993	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91.492993	93.687278	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
93.687278	95.904784	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
95.904784	98.07585	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
98.07585	102.452811	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
102.452811	104.577437	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
104.577437	110.185056	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
110.185056	111.264784	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
