start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	1.230589	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.230589	3.680294	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.680294	5.050272	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
5.050272	9.230853	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.230853	10.611451	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
10.611451	12.004648	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
12.004648	14.849092	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
14.849092	16.24229	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
16.24229	17.670317	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
17.670317	20.503151	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
20.503151	26.56356	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
26.56356	29.605374	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
29.605374	31.045011	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
31.045011	34.237755	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
34.237755	35.758662	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
35.758662	37.337619	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
37.337619	40.507142	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
40.507142	46.81136	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
46.81136	50.004104	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
50.004104	51.397301	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
51.397301	54.613265	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
54.613265	56.134172	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
56.134172	57.713129	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
57.713129	60.731723	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
60.731723	62.26424	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
62.26424	63.819977	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
63.819977	66.710861	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
66.710861	68.115668	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
68.115668	69.624965	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
69.624965	74.696536	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
74.696536	76.285788	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76.285788	82.52365	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
82.52365	85.600294	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
85.600294	87.121201	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
87.121201	90.290725	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
90.290725	91.823242	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
91.823242	93.413809	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
93.413809	96.513673	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
96.513673	102.829501	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
102.829501	105.940975	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
105.940975	107.437246	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
107.437246	110.608185	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
110.608185	112.175532	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
112.175532	113.719659	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
113.719659	116.749863	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
116.749863	118.29399	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
118.29399	119.872947	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
119.872947	122.763832	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
122.763832	124.191859	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
124.191859	125.677936	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
125.677936	132.214353	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
132.214353	138.286371	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
138.286371	141.374625	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
141.374625	142.895532	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
142.895532	145.972176	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
145.972176	147.469863	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
147.469863	148.968415	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
148.968415	151.974535	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
151.974535	158.127823	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
158.127823	161.262517	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
161.262517	162.783424	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
162.783424	165.883287	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
165.883287	167.404195	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
167.404195	168.994761	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
168.994761	172.071405	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
172.071405	178.375623	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
178.375623	181.661247	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
181.661247	183.166049	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
183.166049	186.386507	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
186.386507	187.930634	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
187.930634	189.599646	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
189.599646	192.621065	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
192.621065	194.176802	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
194.176802	195.744149	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
195.744149	198.716303	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
198.716303	200.155941	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
200.155941	201.642018	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
201.642018	206.700168	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
206.700168	208.190045	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
208.190045	209.641292	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
209.641292	211.057709	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
211.057709	213.971814	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
213.971814	215.423061	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
215.423061	216.827868	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
216.827868	219.741972	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
219.741972	225.866927	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
225.866927	234.814694	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
