start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.175157	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.175157	1.852358	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
1.852358	3.454535	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
3.454535	4.720022	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
4.720022	5.126371	A:min/b7	9	7	1	0	0	0	1	0	0	1	0	1	0	0
5.126371	5.95068	F:maj7	5	5	1	0	0	0	1	1	0	0	0	1	0	0
5.95068	6.774988	F:maj6	5	5	1	0	1	0	0	1	0	0	0	1	0	0
6.774988	8.423605	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
8.423605	10.014172	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
10.014172	11.651179	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
11.651179	13.392675	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
13.392675	15.018072	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
15.018072	16.527369	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
16.527369	17.734807	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
17.734807	18.129546	A:min/b7	9	7	1	0	0	0	1	0	0	1	0	1	0	0
18.129546	18.919024	F:maj7	5	5	1	0	0	0	1	1	0	0	0	1	0	0
18.919024	19.662063	F:maj6	5	5	1	0	1	0	0	1	0	0	0	1	0	0
19.662063	21.26424	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
21.26424	22.796757	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
22.796757	24.398934	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
24.398934	26.035941	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
26.035941	27.591678	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
27.591678	29.217074	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
29.217074	30.424167	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
