start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	3.36998	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.36998	4.385034	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
4.385034	6.18458	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
6.18458	7.949297	G:7/3	7	11	0	0	1	0	0	1	0	1	0	0	0	1
7.949297	9.760453	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
9.760453	13.440816	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
13.440816	15.251972	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
15.251972	17.175407	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
17.175407	20.824761	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
20.824761	24.574784	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
24.574784	28.313197	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
28.313197	30.170793	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
30.170793	32.074829	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
32.074829	33.978866	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
33.978866	35.813242	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
35.813242	37.705668	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
37.705668	39.540045	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
39.540045	43.266848	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
43.266848	47.04009	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
47.04009	50.766893	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
50.766893	52.612879	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
52.612879	54.470476	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
54.470476	56.715224	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
56.715224	58.255328	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
58.255328	60.112925	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
60.112925	62.005351	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
62.005351	65.697324	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
65.697324	69.424126	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
69.424126	73.116099	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
73.116099	75.077783	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
75.077783	76.866122	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
76.866122	78.712108	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
78.712108	80.581315	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
80.581315	82.462131	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
82.462131	84.440965	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
84.440965	88.08136	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
88.08136	91.819773	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
91.819773	95.558185	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
95.558185	99.296598	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
99.296598	101.137682	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
101.137682	102.988571	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
102.988571	104.890614	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
104.890614	106.692154	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
106.692154	110.453786	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
110.453786	114.168979	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
114.168979	117.907392	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
117.907392	119.753378	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
119.753378	121.599365	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
121.599365	123.482945	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
123.482945	125.302947	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
125.302947	127.183764	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
127.183764	129.09941	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
129.09941	132.791383	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
132.791383	136.599058	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
136.599058	140.313695	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
140.313695	142.137414	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
142.137414	144.053061	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
144.053061	145.00486	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
145.00486	145.943093	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
145.943093	146.76644	A:aug	9	9	0	1	0	0	0	1	0	0	0	1	0	0
146.76644	149.447105	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
149.447105	152.737959	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
