start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.4021	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.4021	1.914761	A:(1)	9	9	0	0	0	0	0	0	0	0	0	1	0	0
1.914761	11.411976	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11.411976	13.326737	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
13.326737	17.271145	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17.271145	20.698568	G:(1,5)	7	7	0	0	1	0	0	0	0	1	0	0	0	0
20.698568	27.475578	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
27.475578	27.963197	G/2	7	9	0	0	1	0	0	0	0	1	0	1	0	1
27.963197	28.450816	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
28.450816	32.351768	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
32.351768	34.290634	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
34.290634	36.229501	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
36.229501	40.095623	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
40.095623	42.011269	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
42.011269	43.926916	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
43.926916	47.804648	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
47.804648	49.755124	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
49.755124	50.765192	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
50.765192	51.206371	G/2	7	9	0	0	1	0	0	0	0	1	0	1	0	1
51.206371	51.69399	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
51.69399	55.548503	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
55.548503	57.475759	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
57.475759	59.368185	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
59.368185	63.350408	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
63.350408	65.266054	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
65.266054	66.276122	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
66.276122	66.763741	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
66.763741	67.23975	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
67.23975	71.094263	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
71.094263	73.021519	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
73.021519	74.008367	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
74.008367	74.484376	G/2	7	9	0	0	1	0	0	0	0	1	0	1	0	1
74.484376	74.995215	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
74.995215	78.884557	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
78.884557	80.800204	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
80.800204	81.763832	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
81.763832	82.297891	G/2	7	9	0	0	1	0	0	0	0	1	0	1	0	1
82.297891	82.76229	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
82.76229	88.427959	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
88.427959	92.61916	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
92.61916	96.496893	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
96.496893	98.412539	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
98.412539	99.445827	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
99.445827	99.945056	G/2	7	9	0	0	1	0	0	0	0	1	0	1	0	1
99.945056	100.432675	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
100.432675	104.287188	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
104.287188	106.260884	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
